,Column1,시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
0,0,경기도,가평군,가평읍,10052,0.309358939,6
1,1,경기도,가평군,설악면,5002,0.153940849,4
2,2,경기도,가평군,청평면(외서면),7270,0.223740498,4
3,3,경기도,가평군,상면,2903,0.08934232,3
4,4,경기도,가평군,조종면,5204,0.160157572,1
5,5,경기도,가평군,북면,2062,0.063459822,2
