,시도명,시군구명,읍/면/동,화재발생횟수
179,충청남도,아산시,온양4동,0
180,충청남도,아산시,온양5동,0
181,충청남도,아산시,온양6동,0
182,충청북도,진천군,진천읍,31
183,충청북도,진천군,덕산면,25
184,충청북도,진천군,초평면,17
185,충청북도,진천군,문백면,16
186,충청북도,진천군,백곡면,7
187,충청북도,진천군,이월면,19
188,충청북도,진천군,광혜원면,11
