,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
1543,초등학교,방일초등학교,서울특별시 서초구 방배로18길 52,서울특별시 서초구 방배동 167-4,37.48520434,126.9988512,서울시 서초구,방배경찰서,Y,1,2,2020-07-01,3210000,서울특별시 서초구
1544,초등학교,방현초등학교,서울특별시 서초구 효령로4길 58,서울특별시 서초구 방배동 산81-1,37.47650379,126.9900738,서울시 서초구,방배경찰서,Y,1,4,2020-07-01,3210000,서울특별시 서초구
1545,초등학교,서래초등학교,서울특별시 서초구 방배로 260,서울특별시 서초구 방배본동 771,37.49640526,126.9901572,서울시 서초구,방배경찰서,Y,1,4,2020-07-01,3210000,서울특별시 서초구
1546,초등학교,서원초등학교,서울특별시 서초구 고무래로 63,서울특별시 서초구 반포동 30-8,37.50243791,127.0146207,서울시 서초구,서초경찰서,Y,1,2,2020-07-01,3210000,서울특별시 서초구
1547,초등학교,서이초등학교,서울특별시 서초구 서운로 35,서울특별시 서초구 서초동 1334-2,37.49156629,127.0256187,서울시 서초구,서초경찰서,Y,1,1,2020-07-01,3210000,서울특별시 서초구
1548,초등학교,서일초등학교,서울특별시 서초구 남부순환로339길 38,서울특별시 서초구 서초동 1436-8,37.48529597,127.0221612,서울시 서초구,서초경찰서,Y,1,5,2020-07-01,3210000,서울특별시 서초구
1549,초등학교,서초초등학교,서울특별시 서초구 서운로 178,서울특별시 서초구 서초동 1310-6,37.49904841,127.024893,서울시 서초구,서초경찰서,Y,1,2,2020-07-01,3210000,서울특별시 서초구
1550,초등학교,신동초등학교,서울특별시 서초구 나루터로 15,서울특별시 서초구 잠원동 54-5,37.51712824,127.0113885,서울시 서초구,서초경찰서,Y,1,2,2020-07-01,3210000,서울특별시 서초구
1551,초등학교,신중초등학교,서울특별시 서초구 남부순환로317길 15,서울특별시 서초구 서초동 1466-5,37.4799348,127.0102613,서울시 서초구,서초경찰서,Y,1,4,2020-07-01,3210000,서울특별시 서초구
1552,어린이집,이태원삼성어린이집,서울특벽시 용산구 이태원로27길 34-30,서울특별시 용산구 이태원동 111-6,37.5353469640,126.9953973437,용산구청,용산경찰서,Y,,8,2020-02-18,3020000,서울특별시 용산구
1553,어린이집,한남어린이집,서울특벽시 용산구 대사관로5길 1,서울특별시 용산구 한남동 685-43,37.5345649839,127.0004932982,용산구청,용산경찰서,Y,,4~15,2020-02-18,3020000,서울특별시 용산구
1554,어린이집,구립맑은숲 어린이집,서울특별시 용산구 한남대로40길76,서울특벽시 용산구 한남동 726-542,37.5450381634,127.0032951499,용산구청,용산경찰서,Y,,4.5~5.4,2020-02-18,3020000,서울특별시 용산구
1555,국제학교,용산국제학교,서울특벽시 용산구 이태원로 285,서울특별시 용산구 한남동 산10-212,37.5410269540,127.0011360416,용산구청,용산경찰서,Y,,7~24,2020-02-18,3020000,서울특별시 용산구
1556,외국인교육기관,독일인학교,서울특벽시 용산구 독서당로 129,서울특별시 용산구 한남동 4-1,37.5378115649,127.0121610073,용산구청,용산경찰서,Y,,24,2020-02-18,3020000,서울특별시 용산구
1557,초등학교,가동초등학교,서울특별시 송파구 중대로20길 47,서울특별시 송파구 가락2동 163,37.4974117311,127.1300168827,서울특별시 송파구청,송파경찰서,Y,3,9~12,2020-02-20,3230000,서울특별시 송파구
1558,초등학교,가락초등학교,서울특별시 송파구 송파대로37길 45,서울특별시 송파구 가락동 477,37.5000219623,127.1076957,서울특별시 송파구청,송파경찰서,Y,2,10~15,2020-02-20,3230000,서울특별시 송파구
1559,초등학교,가원초등학교,서울특별시 송파구 중대로4길 8,서울특별시 송파구 문정2동 150-10,37.4894409751,127.1110221,서울특별시 송파구청,송파경찰서,Y,2,15,2020-02-20,3230000,서울특별시 송파구
1560,초등학교,가주초등학교,서울특별시 송파구 오금로40길 37,서울특별시 송파구 가락2동 140-6,37.4965216,127.1292781057,서울특별시 송파구청,송파경찰서,Y,2,8~15,2020-02-20,3230000,서울특별시 송파구
1561,초등학교,개롱초등학교,서울특별시 송파구 문정로 211,서울특별시 송파구 오금동 159,37.497352,127.1398426,서울특별시 송파구청,송파경찰서,Y,3,8~20,2020-02-20,3230000,서울특별시 송파구
