기간,자치구,동,인구,면적,인구밀도
2020,성동구,금호1가동,15795,0.46,34337
2020,성동구,금호4가동,14842,0.84,17669
2020,성동구,성수1가1동,16851,1.97,8554
2020,성동구,성수1가2동,13738,0.89,15436
2020,성동구,성수2가1동,17146,1.17,14655
2020,성동구,성수2가3동,11457,1.03,11123
2020,성동구,송정동,11143,0.75,14857
2020,성동구,용답동,12724,2.31,5508
2020,성동구,왕십리도선동,27588,0.72,38317
2020,성동구,금호2.3가동,23584,0.64,36850
2020,성동구,옥수동,26912,1.94,13872
2020,광진구,소계,360109,17.06,21105
2020,광진구,화양동,25541,1.16,22018
2020,광진구,군자동,21903,0.74,29599
2020,광진구,중곡1동,16190,0.62,26113
2020,광진구,중곡2동,22285,0.55,40518
2020,광진구,중곡3동,16902,0.6,28170
2020,광진구,중곡4동,29815,2.32,12851
2020,광진구,능동,11913,1.1,10830
2020,광진구,구의1동,22700,0.56,40536
2020,광진구,구의2동,27444,1.39,19744
2020,광진구,구의3동,29588,1.02,29008
2020,광진구,광장동,35619,2.39,14903
2020,광진구,자양1동,23710,0.57,41596
2020,광진구,자양2동,26016,1.68,15486
2020,광진구,자양3동,28957,1.2,24131
2020,광진구,자양4동,21526,1.16,18557
2020,동대문구,소계,357014,14.22,25114
2020,동대문구,회기동,12663,0.76,16662
2020,동대문구,휘경1동,15362,0.63,24384
2020,동대문구,휘경2동,24992,1.05,23802
2020,동대문구,청량리동,20432,1.2,17027
2020,동대문구,용신동,32602,1.61,20250
2020,동대문구,제기동,27017,1.18,22896
2020,동대문구,전농1동,30722,1.19,25817
2020,동대문구,전농2동,19449,0.86,22615
2020,동대문구,답십리2동,29486,0.85,34689
2020,동대문구,장안1동,39287,1.25,31430
2020,동대문구,장안2동,33339,1.09,30586
2020,동대문구,이문1동,21205,1.04,20389
2020,동대문구,이문2동,20947,0.69,30358
2020,동대문구,답십리1동,29511,0.81,36433
2020,중랑구,소계,399562,18.5,21603
2020,중랑구,면목2동,25214,0.77,32745
2020,중랑구,면목4동,19270,0.87,22149
