,시도명,시군구명,읍/면/동,설치유무,화재발생횟수
0,전라북도,고창군,고창읍,1,24
1,전라북도,고창군,고수면,1,9
2,전라북도,고창군,아산면,1,10
3,전라북도,고창군,무장면,1,13
4,전라북도,고창군,공음면,1,8
5,전라북도,고창군,상하면,1,9
6,전라북도,고창군,해리면,1,8
7,전라북도,고창군,성송면,1,8
8,전라북도,고창군,대산면,0,12
9,전라북도,고창군,심원면,1,4
10,전라북도,고창군,흥덕면,1,13
11,전라북도,고창군,성내면,1,7
12,전라북도,고창군,신림면,1,4
13,전라북도,고창군,부안면,1,11
