시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,인구밀도,범죄총계(구),범죄발생비율
강원도,영월군,주천면,0.0,3965.0,3.0,0.0,0.0,178.0,0.45
강원도,영월군,수주면,0.0,2058.0,2.0,0.0,0.0,178.0,0.23
강원도,원주시,문막읍,0.0,19728.0,7.0,0.0,0.01,206.0,2.6
강원도,원주시,소초면,0.0,9420.0,4.0,0.0,0.01,206.0,1.24
강원도,원주시,호저면,0.0,4088.0,4.0,0.0,0.0,206.0,0.54
강원도,원주시,지정면,0.0,9638.0,5.0,0.0,0.01,206.0,1.27
강원도,원주시,부론면,0.0,2391.0,1.0,0.0,0.0,206.0,0.32
강원도,원주시,귀래면,0.0,2209.0,1.0,0.0,0.0,206.0,0.29
강원도,원주시,흥업면,0.0,9701.0,2.0,0.0,0.01,206.0,1.28
강원도,원주시,판부면,0.0,7616.0,4.0,0.0,0.0,206.0,1.0
강원도,원주시,신림면,0.0,3804.0,2.0,0.0,0.0,206.0,0.5
강원도,원주시,중앙동,0.0,3014.0,0.0,0.0,0.0,206.0,0.4
강원도,원주시,원인동,0.0,5870.0,0.0,0.0,0.0,206.0,0.77
강원도,원주시,개운동,0.0,13886.0,3.0,0.0,0.01,206.0,1.83
강원도,원주시,명륜1동,0.0,9494.0,0.0,0.0,0.01,206.0,1.25
강원도,원주시,명륜2동,0.0,17143.0,0.0,0.0,0.01,206.0,2.26
강원도,원주시,단구동,0.0,46006.0,8.0,0.0,0.03,206.0,6.07
강원도,원주시,일산동,0.0,8436.0,3.0,0.0,0.01,206.0,1.11
강원도,원주시,학성동,0.0,5370.0,2.0,0.0,0.0,206.0,0.71
강원도,원주시,단계동,0.0,26439.0,8.0,0.0,0.02,206.0,3.49
강원도,원주시,우산동,0.0,14745.0,2.0,0.0,0.01,206.0,1.95
강원도,원주시,태장1동,0.0,10620.0,0.0,0.0,0.01,206.0,1.4
강원도,원주시,태장2동,0.0,24159.0,0.0,0.0,0.02,206.0,3.19
강원도,원주시,봉산동,0.0,9059.0,4.0,0.0,0.01,206.0,1.2
강원도,원주시,행구동,0.0,8026.0,1.0,0.0,0.01,206.0,1.06
강원도,원주시,무실동,0.0,35048.0,8.0,0.0,0.02,206.0,4.62
강원도,원주시,반곡관설동,0.0,41511.0,0.0,0.0,0.03,206.0,5.48
강원도,인제군,인제읍,1.0,9716.0,6.0,0.0,0.01,3109.0,19.35
강원도,인제군,남면,1.0,4283.0,5.0,0.0,0.0,3109.0,8.53
강원도,인제군,북면,1.0,8740.0,6.0,0.0,0.01,3109.0,17.4
강원도,인제군,기린면,1.0,5180.0,2.0,0.0,0.0,3109.0,10.31
강원도,인제군,서화면,1.0,2984.0,3.0,0.0,0.0,3109.0,5.94
강원도,인제군,상남면,1.0,1552.0,3.0,0.0,0.0,3109.0,3.09
강원도,정선군,정선읍,0.0,11066.0,4.0,0.0,0.01,126.0,0.89
강원도,정선군,고한읍,0.0,4527.0,2.0,0.0,0.0,126.0,0.37
강원도,정선군,사북읍,0.0,5141.0,2.0,0.0,0.0,126.0,0.41
강원도,정선군,신동읍,0.0,3727.0,1.0,0.0,0.0,126.0,0.3
강원도,정선군,남면,0.0,3442.0,2.0,0.0,0.0,126.0,0.28
강원도,정선군,북평면,0.0,2606.0,2.0,0.0,0.0,126.0,0.21
강원도,정선군,임계면,0.0,3693.0,0.0,0.0,0.0,126.0,0.3
강원도,정선군,화암면,0.0,1702.0,2.0,0.0,0.0,126.0,0.14
강원도,정선군,여량면,0.0,2061.0,1.0,0.0,0.0,126.0,0.17
강원도,철원군,철원읍,0.0,5244.0,3.0,0.0,0.0,458.0,1.54
강원도,철원군,김화읍,0.0,3947.0,3.0,0.0,0.0,458.0,1.16
강원도,철원군,갈말읍,0.0,12813.0,7.0,0.0,0.01,458.0,3.76
강원도,철원군,동송읍,0.0,16361.0,7.0,0.0,0.01,458.0,4.8
강원도,철원군,서면,0.0,6183.0,5.0,0.0,0.0,458.0,1.81
강원도,철원군,근남면,0.0,2477.0,1.0,0.0,0.0,458.0,0.73
강원도,철원군,근북면,0.0,113.0,0.0,0.0,0.0,458.0,0.03
강원도,춘천시,신북읍,1.0,8080.0,10.0,0.0,0.01,184.0,0.95
강원도,춘천시,동면,1.0,20120.0,8.0,0.0,0.01,184.0,2.37
강원도,춘천시,동산면,1.0,1560.0,1.0,0.0,0.0,184.0,0.18
강원도,춘천시,신동면,1.0,2594.0,3.0,0.0,0.0,184.0,0.31
강원도,춘천시,남면,0.0,1123.0,0.0,0.0,0.0,184.0,0.13
강원도,춘천시,서면,1.0,4071.0,6.0,0.0,0.0,184.0,0.48
강원도,춘천시,사북면,1.0,2674.0,4.0,0.0,0.0,184.0,0.32
강원도,춘천시,북산면,0.0,992.0,2.0,0.0,0.0,184.0,0.12
강원도,춘천시,동내면,1.0,17901.0,6.0,0.0,0.01,184.0,2.11
강원도,춘천시,남산면,0.0,3742.0,6.0,0.0,0.0,184.0,0.44
강원도,춘천시,교동,1.0,4369.0,2.0,0.0,0.0,184.0,0.51
강원도,춘천시,조운동,0.0,3231.0,0.0,0.0,0.0,184.0,0.38
강원도,춘천시,약사명동,0.0,2758.0,2.0,0.0,0.0,184.0,0.33
강원도,춘천시,근화동,1.0,9196.0,1.0,0.0,0.01,184.0,1.08
강원도,춘천시,소양동,0.0,10931.0,1.0,0.0,0.01,184.0,1.29
강원도,춘천시,후평1동,0.0,13013.0,3.0,0.0,0.01,184.0,1.53
강원도,춘천시,후평2동,0.0,15730.0,4.0,0.0,0.01,184.0,1.85
강원도,춘천시,후평3동,0.0,18286.0,4.0,0.0,0.01,184.0,2.15
강원도,춘천시,효자1동,0.0,5073.0,2.0,0.0,0.0,184.0,0.6
강원도,춘천시,효자2동,0.0,12918.0,2.0,0.0,0.01,184.0,1.52
강원도,춘천시,효자3동,0.0,5335.0,2.0,0.0,0.0,184.0,0.63
강원도,춘천시,석사동,1.0,38051.0,6.0,0.0,0.02,184.0,4.48
강원도,춘천시,퇴계동,1.0,44442.0,9.0,0.0,0.03,184.0,5.24
강원도,춘천시,강남동,0.0,17944.0,0.0,0.0,0.01,184.0,2.11
강원도,춘천시,신사우동,0.0,20868.0,0.0,0.0,0.01,184.0,2.46
강원도,태백시,황지동,0.0,6759.0,4.0,0.0,0.0,2351.0,10.18
강원도,태백시,황연동,0.0,4825.0,0.0,0.0,0.0,2351.0,7.27
강원도,태백시,삼수동,0.0,6364.0,0.0,0.0,0.0,2351.0,9.58
강원도,태백시,상장동,0.0,14295.0,0.0,0.0,0.01,2351.0,21.53
강원도,태백시,문곡소도동,0.0,4053.0,1.0,0.0,0.0,2351.0,6.1
강원도,태백시,장성동,0.0,3561.0,3.0,0.0,0.0,2351.0,5.36
강원도,태백시,구문소동,0.0,2917.0,0.0,0.0,0.0,2351.0,4.39
강원도,태백시,철암동,0.0,2338.0,1.0,0.0,0.0,2351.0,3.52
강원도,평창군,평창읍,0.0,8834.0,4.0,0.0,0.01,390.0,2.21
강원도,평창군,미탄면,0.0,1747.0,1.0,0.0,0.0,390.0,0.44
강원도,평창군,방림면,0.0,2512.0,2.0,0.0,0.0,390.0,0.63
강원도,평창군,대화면,0.0,5537.0,4.0,0.0,0.0,390.0,1.38
강원도,평창군,봉평면,0.0,5916.0,1.0,0.0,0.0,390.0,1.48
강원도,평창군,용평면,0.0,3261.0,4.0,0.0,0.0,390.0,0.81
강원도,평창군,진부면,0.0,9278.0,4.0,0.0,0.01,390.0,2.32
강원도,평창군,대관령면,0.0,5936.0,3.0,0.0,0.0,390.0,1.48
강원도,홍천군,홍천읍,0.0,35919.0,14.0,0.0,0.02,229.0,5.27
강원도,홍천군,화촌면,0.0,4736.0,3.0,0.0,0.0,229.0,0.69
강원도,홍천군,두촌면,0.0,2425.0,1.0,0.0,0.0,229.0,0.36
강원도,홍천군,내촌면,0.0,2447.0,2.0,0.0,0.0,229.0,0.36
강원도,홍천군,서석면,0.0,3945.0,2.0,0.0,0.0,229.0,0.58
강원도,홍천군,동면,0.0,3872.0,2.0,0.0,0.0,229.0,0.57
강원도,홍천군,남면,0.0,6169.0,2.0,0.0,0.0,229.0,0.9
강원도,홍천군,서면,0.0,3886.0,4.0,0.0,0.0,229.0,0.57
강원도,홍천군,북방면,0.0,4014.0,1.0,0.0,0.0,229.0,0.59
강원도,홍천군,내면,0.0,3485.0,3.0,0.0,0.0,229.0,0.51
