시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,관광지개수,예상범죄비율
강원도,영월군,김삿갓면,0.0,1801.0,0.0,0.0,1.0,1.5094350472129721e-05
강원도,영월군,북면,0.0,2265.0,2.0,0.0,0.0,1.8688243441684418e-05
강원도,영월군,남면,0.0,2316.0,2.0,0.0,0.0,1.8688243441684418e-05
강원도,영월군,한반도면,0.0,3139.0,4.0,0.0,0.0,2.587602938079381e-05
강원도,영월군,주천면,0.0,3965.0,3.0,0.0,0.0,3.234503672599226e-05
강원도,영월군,수주면,0.0,2058.0,2.0,0.0,0.0,1.6531907659951602e-05
강원도,원주시,문막읍,0.0,19728.0,7.0,0.0,0.0,0.0001868824344168442
강원도,원주시,소초면,0.0,9420.0,4.0,0.0,0.0,8.912854564495645e-05
강원도,원주시,호저면,0.0,4088.0,4.0,0.0,0.0,3.881404407119071e-05
강원도,원주시,지정면,0.0,9638.0,5.0,0.0,1.0,9.128488142668927e-05
강원도,원주시,부론면,0.0,2391.0,1.0,0.0,0.0,2.300091500515005e-05
강원도,원주시,귀래면,0.0,2209.0,1.0,0.0,0.0,2.0844579223417235e-05
강원도,원주시,흥업면,0.0,9701.0,2.0,0.0,0.0,9.20036600206002e-05
강원도,원주시,판부면,0.0,7616.0,4.0,0.0,0.0,7.187785939109391e-05
강원도,원주시,신림면,0.0,3804.0,2.0,0.0,0.0,3.5938929695546954e-05
강원도,원주시,중앙동,0.0,3014.0,0.0,0.0,0.0,2.8751143756437567e-05
강원도,원주시,원인동,0.0,5870.0,0.0,0.0,0.0,5.5345951731142314e-05
강원도,원주시,개운동,0.0,13886.0,3.0,0.0,0.0,0.00013153648268570187
강원도,원주시,명륜1동,0.0,9494.0,0.0,0.0,0.0,8.984732423886739e-05
강원도,원주시,명륜2동,0.0,17143.0,0.0,0.0,0.0,0.00016244396222387224
강원도,원주시,단구동,0.0,46006.0,8.0,0.0,0.0,0.00043629860650394006
강원도,원주시,일산동,0.0,8436.0,3.0,0.0,0.0,7.978442392411424e-05
강원도,원주시,학성동,0.0,5370.0,2.0,0.0,0.0,5.1033280167676674e-05
강원도,원주시,단계동,0.0,26439.0,8.0,0.0,0.0,0.0002508537292749178
강원도,원주시,우산동,0.0,14745.0,2.0,0.0,0.0,0.00014016182581263312
강원도,원주시,태장1동,0.0,10620.0,0.0,0.0,0.0,0.00010062900314753147
강원도,원주시,태장2동,0.0,24159.0,0.0,0.0,0.0,0.0002292903714575896
강원도,원주시,봉산동,0.0,9059.0,4.0,0.0,0.0,8.625343126931269e-05
강원도,원주시,행구동,0.0,8026.0,1.0,0.0,0.0,7.619053095455955e-05
강원도,원주시,무실동,0.0,35048.0,8.0,0.0,0.0,0.00033207571038685387
강원도,원주시,반곡관설동,0.0,41511.0,0.0,0.0,0.0,0.00039389066946319466
강원도,인제군,인제읍,1.0,9716.0,6.0,0.0,0.0,0.0013908365792176672
강원도,인제군,남면,1.0,4283.0,5.0,0.0,0.0,0.000613118140606031
강원도,인제군,북면,1.0,8740.0,6.0,0.0,1.0,0.001250674753405034
강원도,인제군,기린면,1.0,5180.0,2.0,0.0,1.0,0.0007410607303221783
강원도,인제군,서화면,1.0,2984.0,3.0,0.0,0.0,0.0004269544847830979
강원도,인제군,상남면,1.0,1552.0,3.0,0.0,0.0,0.00022210258551848017
강원도,정선군,정선읍,0.0,11066.0,4.0,0.0,0.0,6.397129485807359e-05
강원도,정선군,고한읍,0.0,4527.0,2.0,0.0,0.0,2.6594807974704747e-05
강원도,정선군,사북읍,0.0,5141.0,2.0,0.0,0.0,2.94699223503485e-05
강원도,정선군,신동읍,0.0,3727.0,1.0,0.0,0.0,2.1563357817328173e-05
강원도,정선군,남면,0.0,3442.0,2.0,0.0,0.0,2.0125800629506297e-05
강원도,정선군,북평면,0.0,2606.0,2.0,0.0,0.0,1.5094350472129721e-05
강원도,정선군,임계면,0.0,3693.0,0.0,0.0,0.0,2.1563357817328173e-05
강원도,정선군,화암면,0.0,1702.0,2.0,0.0,1.0,1.0062900314753149e-05
강원도,정선군,여량면,0.0,2061.0,1.0,0.0,1.0,1.2219236096485967e-05
강원도,철원군,철원읍,0.0,5244.0,3.0,0.0,0.0,0.00011069190346228463
