,Column1,시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
0,5,서울특별시,중랑구,망우동,48292,0.004841642,12
1,4,서울특별시,중랑구,면목동,143278,0.014364714,28
2,2,서울특별시,중랑구,묵동,55260,0.005540237,10
3,0,서울특별시,중랑구,상봉동,45126,0.004524226,8
4,3,서울특별시,중랑구,신내동,61133,0.00612905,14
5,1,서울특별시,중랑구,중화동,46473,0.004659273,12
