기간,자치구,동,세대,인구,인구.1,인구.2,인구.3,인구.4,인구.5,인구.6,인구.7,인구.8,세대당인구,65세이상고령자
기간,자치구,동,세대,합계,합계,합계,한국인,한국인,한국인,외국인,외국인,외국인,세대당인구,65세이상고령자
기간,자치구,동,세대,계,남자,여자,계,남자,여자,계,남자,여자,세대당인구,65세이상고령자
2021.1/4,관악구,청룡동,"22,682","36,313","17,302","19,011","35,200","16,847","18,353","1,113",455,658,1.55,"4,408"
2021.1/4,관악구,난곡동,"13,048","27,800","13,929","13,871","27,304","13,704","13,600",496,225,271,2.09,"5,324"
2021.1/4,관악구,삼성동,"10,860","23,232","11,626","11,606","23,079","11,568","11,511",153,58,95,2.13,"5,611"
2021.1/4,관악구,미성동,"14,236","31,595","15,451","16,144","31,040","15,171","15,869",555,280,275,2.18,"5,737"
2021.1/4,서초구,소계,"172,181","425,103","203,489","221,614","421,315","201,619","219,696","3,788","1,870","1,918",2.45,"60,209"
2021.1/4,서초구,서초1동,"9,292","20,991","10,130","10,861","20,801","10,035","10,766",190,95,95,2.24,"2,998"
2021.1/4,서초구,서초2동,"9,857","22,316","10,650","11,666","22,083","10,515","11,568",233,135,98,2.24,"2,634"
2021.1/4,서초구,서초3동,"14,730","32,454","15,745","16,709","32,128","15,590","16,538",326,155,171,2.18,"4,688"
2021.1/4,서초구,서초4동,"10,925","31,476","15,315","16,161","31,241","15,183","16,058",235,132,103,2.86,"4,094"
2021.1/4,서초구,잠원동,"11,182","27,983","13,426","14,557","27,813","13,347","14,466",170,79,91,2.49,"3,344"
2021.1/4,서초구,반포본동,"3,963","11,512","5,454","6,058","11,467","5,431","6,036",45,23,22,2.89,"1,867"
2021.1/4,서초구,반포1동,"14,227","32,387","15,673","16,714","32,089","15,540","16,549",298,133,165,2.26,"3,590"
2021.1/4,서초구,반포2동,"5,034","16,047","7,676","8,371","15,889","7,605","8,284",158,71,87,3.16,"1,899"
2021.1/4,서초구,반포3동,"7,740","22,406","10,636","11,770","22,352","10,613","11,739",54,23,31,2.89,"2,936"
2021.1/4,서초구,반포4동,"7,181","19,822","9,413","10,409","19,211","9,079","10,132",611,334,277,2.68,"2,839"
2021.1/4,서초구,방배본동,"7,982","21,199","9,847","11,352","21,008","9,753","11,255",191,94,97,2.63,"3,037"
2021.1/4,서초구,방배1동,"7,561","17,180","8,044","9,136","17,062","7,992","9,070",118,52,66,2.26,"2,818"
2021.1/4,서초구,방배2동,"8,574","20,092","9,406","10,686","19,954","9,339","10,615",138,67,71,2.33,"3,463"
