,시도명,시군구명,읍/면/동,등록인구수,인구밀도,범죄총계(구),범죄발생비율
79,서울특별시,광진구,구의동,79732.0,0.01,3738.0,29.88
80,서울특별시,광진구,광장동,35619.0,0.0,3738.0,13.35
81,서울특별시,광진구,자양동,100209.0,0.01,3738.0,37.55
82,서울특별시,동대문구,회기동,12663.0,0.0,3524.0,4.47
83,서울특별시,동대문구,휘경동,40354.0,0.0,3524.0,14.26
84,서울특별시,동대문구,청량리동,20432.0,0.0,3524.0,7.22
85,서울특별시,동대문구,용신동,32602.0,0.0,3524.0,11.52
86,서울특별시,동대문구,제기동,27017.0,0.0,3524.0,9.55
87,서울특별시,동대문구,전농동,50171.0,0.01,3524.0,17.73
88,서울특별시,동대문구,답십리동,58997.0,0.01,3524.0,20.84
89,서울특별시,동대문구,장안동,72626.0,0.01,3524.0,25.66
90,서울특별시,동대문구,이문동,42152.0,0.0,3524.0,14.89
91,서울특별시,중랑구,상봉동,45126.0,0.0,4130.0,18.69
92,서울특별시,중랑구,중화동,46473.0,0.0,4130.0,19.24
93,서울특별시,중랑구,묵동,55260.0,0.01,4130.0,22.88
94,서울특별시,중랑구,신내동,61133.0,0.01,4130.0,25.31
95,서울특별시,중랑구,면목동,143278.0,0.01,4130.0,59.33
96,서울특별시,중랑구,망우동,48292.0,0.0,4130.0,20.0
97,서울특별시,성북구,돈암동,40065.0,0.0,2701.0,10.85
98,서울특별시,성북구,안암동,16580.0,0.0,2701.0,4.49
99,서울특별시,성북구,보문동,16123.0,0.0,2701.0,4.37
100,서울특별시,성북구,정릉동,85505.0,0.01,2701.0,23.15
101,서울특별시,성북구,길음동,53735.0,0.01,2701.0,14.55
102,서울특별시,성북구,월곡동,47504.0,0.0,2701.0,12.86
103,서울특별시,성북구,장위동,51914.0,0.01,2701.0,14.06
104,서울특별시,성북구,성북동,17404.0,0.0,2701.0,4.71
105,서울특별시,성북구,삼선동,24144.0,0.0,2701.0,6.54
106,서울특별시,성북구,동선동,16246.0,0.0,2701.0,4.4
107,서울특별시,성북구,종암동,41353.0,0.0,2701.0,11.2
108,서울특별시,성북구,석관동,36483.0,0.0,2701.0,9.88
