시도명,시군구명,읍/면/동,등록인구수,인구밀도
서울특별시,중랑구,묵동,55260.0,0.005540237301818213
서울특별시,중랑구,신내동,61133.0,0.006129050433804791
서울특별시,중랑구,면목동,143278.0,0.014364714443176075
서울특별시,중랑구,망우동,48292.0,0.004841642051744573
서울특별시,성북구,돈암동,40065.0,0.004016822430281337
서울특별시,성북구,안암동,16580.0,0.001662271705829641
서울특별시,성북구,보문동,16123.0,0.0016164539633951329
서울특별시,성북구,정릉동,85505.0,0.00857252968678911
서울특별시,성북구,길음동,53735.0,0.005387344397633037
서울특별시,성북구,월곡동,47504.0,0.004762639029778725
서울특별시,성북구,장위동,51914.0,0.005204775231389625
서울특별시,성북구,성북동,17404.0,0.0017448840029106799
서울특별시,성북구,삼선동,24144.0,0.002420620510588109
서울특별시,성북구,동선동,16246.0,0.0016287856533720355
서울특별시,성북구,종암동,41353.0,0.004145954273291504
서울특별시,성북구,석관동,36483.0,0.003657699556319831
서울특별시,강북구,번동,53590.0,0.005372807039530185
서울특별시,강북구,수유동,66970.0,0.0067142542906761795
서울특별시,강북구,삼양동,24742.0,0.0024805745805571155
서울특별시,강북구,미아동,22723.0,0.0022781544011801526
서울특별시,강북구,송중동,30934.0,0.003101369900369971
서울특별시,강북구,송천동,27871.0,0.0027942807426524683
서울특별시,강북구,삼각산동,32118.0,0.0032200749486029196
서울특별시,강북구,우이동,21076.0,0.0021130300646601636
서울특별시,강북구,인수동,31545.0,0.0031626273196861295
서울특별시,도봉구,쌍문동,77641.0,0.00778410358940405
서울특별시,도봉구,방학동,77682.0,0.007788214152729685
서울특별시,도봉구,창동,122308.0,0.012262311688577306
서울특별시,도봉구,도봉동,49730.0,0.004985812541068037
서울특별시,노원구,월계동,81490.0,0.008169995253803224
서울특별시,노원구,공릉동,78684.0,0.007888672310102502
서울특별시,노원구,하계동,50688.0,0.0050818593621889535
서울특별시,노원구,중계동,108836.0,0.010911640734359155
서울특별시,노원구,상계동,207334.0,0.02078681796480596
서울특별시,은평구,녹번동,37815.0,0.0037912427355818986
서울특별시,은평구,불광동,68762.0,0.006893915985299022
서울특별시,은평구,갈현동,52635.0,0.005277060991335534
