동,인구
동,합계
고창군,55424
고창읍,21643
고수면,2308
아산면,2717
무장면,2879
공음면,2564
상하면,2467
해리면,2881
성송면,1853
대산면,3412
심원면,2577
흥덕면,3155
성내면,1994
신림면,2290
부안면,2684
