시군구명,읍/면/동,등록인구수,어린이보호구역개수
강릉시,강남동,19111.0,0.0
강릉시,강동면,4690.0,5.0
강릉시,경포동,7746.0,0.0
강릉시,교1동,27236.0,3.0
강릉시,교2동,8284.0,4.0
강릉시,구정면,4096.0,5.0
강릉시,내곡동,16059.0,2.0
강릉시,사천면,4601.0,3.0
강릉시,성덕동,29100.0,0.0
강릉시,성산면,3393.0,3.0
강릉시,송정동,7093.0,2.0
강릉시,연곡면,6871.0,3.0
강릉시,옥계면,3857.0,4.0
강릉시,옥천동,3694.0,2.0
강릉시,왕산면,1648.0,2.0
강릉시,주문진읍,17085.0,8.0
강릉시,중앙동,5425.0,0.0
강릉시,초당동,5146.0,1.0
강릉시,포남1동,11184.0,3.0
강릉시,포남2동,14191.0,4.0
강릉시,홍제동,14729.0,2.0
인제군,인제읍,9716.0,6.0
인제군,남면,4283.0,5.0
인제군,북면,8740.0,6.0
인제군,기린면,5180.0,2.0
인제군,서화면,2984.0,3.0
인제군,상남면,1552.0,3.0
춘천시,강남동,17944.0,0.0
춘천시,교동,4369.0,2.0
춘천시,근화동,9196.0,1.0
춘천시,남면,1123.0,0.0
춘천시,남산면,3742.0,6.0
춘천시,동내면,17901.0,6.0
춘천시,동면,20120.0,8.0
춘천시,동산면,1560.0,1.0
춘천시,북산면,992.0,2.0
춘천시,사북면,2674.0,4.0
춘천시,서면,4071.0,6.0
춘천시,석사동,38051.0,6.0
춘천시,소양동,10931.0,1.0
춘천시,신동면,2594.0,3.0
춘천시,신북읍,8080.0,10.0
춘천시,신사우동,20868.0,0.0
춘천시,약사명동,2758.0,0.0
춘천시,조운동,3231.0,0.0
춘천시,퇴계동,44442.0,9.0
춘천시,효자1동,5073.0,2.0
춘천시,효자2동,12918.0,2.0
춘천시,효자3동,5335.0,2.0
춘천시,후평1동,13013.0,3.0
춘천시,후평2동,15730.0,4.0
춘천시,후평3동,18286.0,4.0
가평군,가평읍,10052.0,6.0
가평군,설악면,5002.0,4.0
가평군,청평면(외서면),7270.0,4.0
가평군,상면,2903.0,3.0
가평군,조종면,5204.0,1.0
가평군,북면,2062.0,2.0
광산구,도산동,16382.0,14.0
광산구,동곡동,2063.0,0.0
광산구,본량동,2117.0,0.0
광산구,비아동,7905.0,11.0
광산구,삼도동,2354.0,1.0
광산구,송정1동,11615.0,2.0
광산구,송정2동,6870.0,3.0
광산구,수완동,79513.0,13.0
광산구,신가동,22049.0,18.0
광산구,신창동,34769.0,15.0
광산구,신흥동,4972.0,0.0
광산구,어룡동,34436.0,0.0
광산구,우산동,24767.0,8.0
광산구,운남동,31745.0,21.0
광산구,월곡1동,13198.0,7.0
광산구,월곡2동,20417.0,8.0
광산구,임곡동,2239.0,2.0
광산구,첨단1동,26073.0,0.0
광산구,첨단2동,44762.0,0.0
광산구,평동,5412.0,0.0
광산구,하남동,25118.0,4.0
남구,대촌동,5769.0,0.0
남구,방림1동,7274.0,2.0
남구,방림2동,9421.0,3.0
남구,백운1동,13019.0,1.0
남구,백운2동,6311.0,2.0
남구,봉선1동,15122.0,6.0
남구,봉선2동,29602.0,6.0
남구,사직동,5669.0,0.0
남구,송암동,19302.0,0.0
남구,양림동,7592.0,2.0
남구,월산4동,9225.0,1.0
남구,월산5동,6830.0,1.0
남구,월산동,8005.0,1.0
남구,주월1동,20184.0,6.0
남구,주월2동,8698.0,6.0
남구,효덕동,47590.0,0.0
서구,남부민1동,5412.0,2.0
서구,남부민2동,10544.0,3.0
