시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
부산광역시,서구,남부민2동,10544.0,0.093623747,3.0
부산광역시,서구,동대신1동,4769.0,0.042345566,1.0
부산광역시,서구,동대신2동,8225.0,0.073032561,0.0
부산광역시,서구,동대신3동,6956.0,0.06176468,2.0
부산광역시,서구,부민동,8337.0,0.074027046,4.0
부산광역시,서구,서대신1동,12051.0,0.10700491,0.0
부산광역시,서구,서대신3동,8991.0,0.079834134,4.0
부산광역시,서구,서대신4동,8250.0,0.073254544,0.0
부산광역시,서구,아미동,8071.0,0.071665142,2.0
부산광역시,서구,암남동,15471.0,0.137372249,3.0
부산광역시,서구,초장동,5109.0,0.045364541,0.0
부산광역시,서구,충무동,10435.0,0.092655899,0.0
서울특별시,강동구,강일동,35778.0,0.003587018,8.0
서울특별시,강동구,고덕동,48671.0,0.00487964,20.0
서울특별시,강동구,길동,46868.0,0.004698875,22.0
서울특별시,강동구,둔촌동,26675.0,0.002674373,18.0
서울특별시,강동구,명일동,43932.0,0.004404519,18.0
서울특별시,강동구,상일동,33345.0,0.003343091,20.0
서울특별시,강동구,성내동,68993.0,0.006917076,18.0
서울특별시,강동구,암사동,69655.0,0.006983446,28.0
서울특별시,강동구,천호동,90081.0,0.009031309,28.0
서울특별시,강북구,미아동,22723.0,0.002278154,28.0
서울특별시,강북구,번동,53590.0,0.005372807,16.0
서울특별시,강북구,삼각산동,32118.0,0.003220075,0.0
서울특별시,강북구,삼양동,24742.0,0.002480575,0.0
서울특별시,강북구,송중동,30934.0,0.00310137,0.0
서울특별시,강북구,송천동,27871.0,0.002794281,0.0
서울특별시,강북구,수유동,66970.0,0.006714254,28.0
서울특별시,강북구,우이동,21076.0,0.00211303,4.0
서울특별시,강북구,인수동,31545.0,0.003162627,0.0
서울특별시,강서구,염창동,42017.0,0.004212525,6.0
서울특별시,강서구,등촌동,77214.0,0.007741294,13.0
서울특별시,강서구,화곡동,201246.0,0.020176449,33.0
서울특별시,강서구,가양동,64711.0,0.006487772,4.0
서울특별시,강서구,외발산동,37530.0,0.003762669,8.0
서울특별시,강서구,공항동,27627.0,0.002769818,3.0
서울특별시,강서구,방화동,91569.0,0.009180492,12.0
서울특별시,강서구,우장산동,43987.0,0.004410033,0.0
서울특별시,강서구,염창동,42017.0,0.004212525,6.0
서울특별시,강서구,등촌동,77214.0,0.007741294,13.0
서울특별시,강서구,화곡동,201246.0,0.020176449,33.0
서울특별시,강서구,가양동,64711.0,0.006487772,4.0
서울특별시,강서구,외발산동,37530.0,0.003762669,8.0
서울특별시,강서구,공항동,27627.0,0.002769818,3.0
서울특별시,강서구,방화동,91569.0,0.009180492,12.0
서울특별시,강서구,우장산동,43987.0,0.004410033,0.0
0,광진구,광장동,35619.0,0.003571077,20.0
1,광진구,구의동,79732.0,0.007993742,36.0
2,광진구,군자동,21903.0,0.002195943,14.0
3,광진구,능동,11913.0,0.001194369,10.0
4,광진구,자양동,100209.0,0.010046718,44.0
5,광진구,중곡동,85192.0,0.008541149,24.0
6,광진구,화양동,25541.0,0.00256068,6.0
서울특별시,구로구,신도림동,36494.0,0.0036588023903828,4.0
서울특별시,구로구,구로동,137774.0,0.0138128963811202,16.0
서울특별시,구로구,고척동,51400.0,0.005153242803356,7.0
서울특별시,구로구,개봉동,88741.0,0.0088969634165879,9.0
서울특별시,구로구,오류동,63115.0,0.0063277610804244,12.0
서울특별시,구로구,수궁동,24297.0,0.0024359599298276,0.0
서울특별시,구로구,가리봉동,14263.0,0.0014299747491102,2.0
서울특별시,구로구,항동,16404.0,0.001644626360822,3.0
서울특별시,금천구,가산동,25973.0,0.0026039917379682,8.0
서울특별시,금천구,독산동,110856.0,0.0111141611713782,40.0
서울특별시,금천구,시흥동,111006.0,0.0111291998176915,38.0
서울특별시,노원구,공릉동,78684.0,0.007888672,30.0
서울특별시,노원구,상계동,207334.0,0.020786818,80.0
서울특별시,노원구,월계동,81490.0,0.008169995,30.0
서울특별시,노원구,중계동,108836.0,0.010911641,44.0
서울특별시,노원구,하계동,50688.0,0.005081859,24.0
서울특별시,도봉구,쌍문동,77641.0,0.007784103589404,20.0
서울특별시,도봉구,방학동,77682.0,0.0077882141527296,13.0
서울특별시,도봉구,창동,122308.0,0.0122623116885773,30.0
서울특별시,도봉구,도봉동,49730.0,0.004985812541068,6.0
서울특별시,동대문구,회기동,12663.0,0.001269563,6.0
서울특별시,동대문구,휘경동,40354.0,0.004045797,14.0
서울특별시,동대문구,청량리동,20432.0,0.002048464,2.0
서울특별시,동대문구,용신동,32602.0,0.0032686,6.0
서울특별시,동대문구,제기동,27017.0,0.002708661,16.0
서울특별시,동대문구,전농동,50171.0,0.005030026,20.0
서울특별시,동대문구,답십리동,58997.0,0.0059149,26.0
서울특별시,동대문구,장안동,72626.0,0.007281312,38.0
서울특별시,동대문구,이문동,42152.0,0.00422606,18.0
서울특별시,동작구,노량진동,45899.0,0.004601726,8.0
서울특별시,동작구,대방동,39172.0,0.003927292,16.0
서울특별시,동작구,사당동,105944.0,0.010621696,28.0
서울특별시,동작구,상도1동,46840.0,0.004696068,8.0
서울특별시,동작구,상도동,82884.0,0.008309754,32.0
서울특별시,동작구,신대방동,46289.0,0.004640826,8.0
서울특별시,동작구,흑석동,34544.0,0.0034633,18.0
서울특별시,마포구,용강동,22257.0,0.0022314343399668,0.0
서울특별시,마포구,대흥동,15863.0,0.001590386976452,4.0
서울특별시,마포구,염리동,12864.0,0.0012897143078282,6.0
서울특별시,마포구,신수동,23606.0,0.0023666818991444,4.0
서울특별시,마포구,서교동,26981.0,0.0027050514411935,4.0
서울특별시,마포구,합정동,18576.0,0.0018623859594385,2.0
서울특별시,마포구,망원동,40329.0,0.0040432904477927,6.0
서울특별시,마포구,연남동,16682.0,0.0016724979853226,4.0
서울특별시,마포구,성산동,60348.0,0.0060503481847652,18.0
서울특별시,마포구,상암동,31997.0,0.0032079437739101,16.0
서울특별시,마포구,도화동,21998.0,0.0022054676106658,10.0
서울특별시,마포구,서강동,25386.0,0.0025451405020621,0.0
서울특별시,마포구,공덕동,38750.0,0.0038849836309347,4.0
서울특별시,마포구,아현동,26221.0,0.0026288556332062,4.0
서울특별시,서대문구,남가좌동,47137.0,0.004725844,10.0
서울특별시,서대문구,북가좌동,51504.0,0.00516367,6.0
서울특별시,서대문구,북아현동,16956.0,0.001699969,6.0
서울특별시,서대문구,신촌동,23051.0,0.002311039,0.0
서울특별시,서대문구,연희동,39105.0,0.003920575,2.0
서울특별시,서대문구,천연동,18049.0,0.00180955,4.0
서울특별시,서대문구,충현동,21229.0,0.002128369,0.0
서울특별시,서대문구,홍은동,51000.0,0.00511314,8.0
서울특별시,서대문구,홍제동,54921.0,0.00550625,24.0
서울특별시,서초구,서초동,171512.0,0.0171953887099067,32.0
서울특별시,서초구,잠원동,28532.0,0.002860551044073,14.0
서울특별시,서초구,반포동,103250.0,0.010351601545652,22.0
서울특별시,서초구,방배동,104555.0,0.0104824377685776,34.0
서울특별시,서초구,양재동,67599.0,0.0067773163475499,16.0
서울특별시,서초구,내곡동,18146.0,0.0018192751733404,6.0
서울특별시,성동구,금호동1가,15795.0,0.001583569,6.0
서울특별시,성동구,금호동2가,11792.0,0.001182238,4.0
서울특별시,성동구,금호동3가,11792.0,0.001182238,2.0
서울특별시,성동구,금호동4가,14842.0,0.001488024,8.0
서울특별시,성동구,마장동,23459.0,0.002351944,12.0
서울특별시,성동구,사근동,13512.0,0.001354681,8.0
서울특별시,성동구,성수동1가,30589.0,0.003066781,8.0
서울특별시,성동구,성수동2가,28603.0,0.002867669,6.0
서울특별시,성동구,송정동,11143.0,0.001117171,4.0
서울특별시,성동구,옥수동,26912.0,0.002698134,10.0
서울특별시,성동구,왕십리2동,17416.0,0.001746087,10.0
서울특별시,성동구,왕십리도선동,27588.0,0.002765908,0.0
서울특별시,성동구,용답동,12724.0,0.001275678,6.0
서울특별시,성동구,응봉동,15824.0,0.001586477,4.0
서울특별시,성동구,행당동,38514.0,0.003861323,8.0
서울특별시,성북구,길음동,53735.0,0.005387344,28.0
서울특별시,성북구,돈암동,40065.0,0.004016822,26.0
서울특별시,성북구,동선동,16246.0,0.001628786,14.0
서울특별시,성북구,보문동,16123.0,0.001616454,10.0
서울특별시,성북구,삼선동,24144.0,0.002420621,4.0
서울특별시,성북구,석관동,36483.0,0.0036577,10.0
서울특별시,성북구,성북동,17404.0,0.001744884,10.0
서울특별시,성북구,안암동,16580.0,0.001662272,8.0
서울특별시,성북구,월곡동,47504.0,0.004762639,16.0
서울특별시,성북구,장위동,51914.0,0.005204775,22.0
서울특별시,성북구,정릉동,85505.0,0.00857253,32.0
서울특별시,성북구,종암동,41353.0,0.004145954,20.0
서울특별시,송파구,가락동,88448.0,0.008867588,26.0
서울특별시,송파구,거여동,32407.0,0.003249049,10.0
서울특별시,송파구,마천동,39628.0,0.00397301,18.0
서울특별시,송파구,문정동,50415.0,0.005054489,4.0
서울특별시,송파구,방이동,42973.0,0.004308372,6.0
서울특별시,송파구,삼전동,31839.0,0.003192103,2.0
서울특별시,송파구,석촌동,33166.0,0.003325145,10.0
서울특별시,송파구,송파동,45990.0,0.004610849,16.0
서울특별시,송파구,오금동,39668.0,0.00397702,10.0
서울특별시,송파구,오륜동,18495.0,0.001854265,6.0
서울특별시,송파구,위례동,30366.0,0.003044424,6.0
서울특별시,송파구,잠실동,149873.0,0.015025914,38.0
서울특별시,송파구,장지동,30370.0,0.003044825,14.0
서울특별시,송파구,풍납동,40288.0,0.00403918,18.0
서울특별시,양천구,목동,153553.0,0.015394862,40.0
서울특별시,양천구,신월동,125465.0,0.012578825,46.0
서울특별시,양천구,신정동,177372.0,0.017782898,50.0
서울특별시,영등포구,당산동,59208.0,0.005936054,14.0
서울특별시,영등포구,대림동,64500.0,0.006466618,26.0
서울특별시,영등포구,도림동,20665.0,0.002071824,2.0
서울특별시,영등포구,문래동,33399.0,0.003348505,10.0
서울특별시,영등포구,신길동,102288.0,0.010255154,40.0
서울특별시,영등포구,양평동,40305.0,0.004040884,18.0
서울특별시,영등포구,여의동,34463.0,0.003455179,12.0
서울특별시,영등포구,영등포동,52539.0,0.005267436,10.0
서울특별시,용산구,남영동,8116.0,0.000813691,0.0
서울특별시,용산구,보광동,15531.0,0.001557101,2.0
서울특별시,용산구,서빙고동,14000.0,0.001403607,2.0
서울특별시,용산구,용문동,12455.0,0.001248709,0.0
서울특별시,용산구,용산동2가,11272.0,0.001130104,2.0
서울특별시,용산구,원효로1가,16730.0,0.00167731,0.0
서울특별시,용산구,원효로2가,14331.0,0.001436792,2.0
서울특별시,용산구,이촌동,37769.0,0.003786631,14.0
서울특별시,용산구,이태원동,19559.0,0.001960939,6.0
서울특별시,용산구,청파동1가,6832.0,0.00068496,0.0
서울특별시,용산구,청파동2가,6832.0,0.00068496,2.0
서울특별시,용산구,청파동3가,6832.0,0.00068496,0.0
서울특별시,용산구,한강로1가,7365.0,0.000738398,0.0
서울특별시,용산구,한강로2가,7366.0,0.000738498,2.0
서울특별시,용산구,한강로3가,7366.0,0.000738498,2.0
서울특별시,용산구,한남동,23761.0,0.002382222,10.0
서울특별시,용산구,효창동,10326.0,0.00103526,2.0
