시도명,시군구명,읍/면/동,어린이보호구역총계
서울특별시,동작구,,2
서울특별시,동작구,노량진1동,2
서울특별시,동작구,노량진동,2
서울특별시,동작구,대방동,8
서울특별시,동작구,동작동,2
서울특별시,동작구,본동,2
서울특별시,동작구,사당1동,3
서울특별시,동작구,사당3동,2
서울특별시,동작구,사당5동,4
서울특별시,동작구,사당동,5
서울특별시,동작구,상도1동,4
서울특별시,동작구,상도2동,1
서울특별시,동작구,상도3동,3
서울특별시,동작구,상도4동,6
서울특별시,동작구,상도동,6
서울특별시,동작구,신대방1동,4
서울특별시,동작구,흑석1동,4
서울특별시,동작구,흑석동,5
