"행정구역(읍면동)별(1)",행정구역(읍면동)별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"행정구역(읍면동)별(1)",행정구역(읍면동)별(2),합계,합계,합계,합계,내국인,내국인,내국인,내국인,외국인,외국인,외국인
"행정구역(읍면동)별(1)",행정구역(읍면동)별(2),세대수 (세대),인구수 (명),남자인구수 (명),여자인구수 (명),세대수 (세대),인구수 (명),남자인구수 (명),여자인구수 (명),인구수 (명),남자인구수 (명),여자인구수 (명)
"북구",문화동,8695,19346,9521,9825,8695,19248,9495,9753,98,26,72
"북구",문흥1동,6492,17010,8295,8715,6492,16961,8283,8678,49,12,37
"북구",문흥2동,7202,16835,8006,8829,7202,16671,7936,8735,164,70,94
"북구",두암1동,3901,8228,4100,4128,3901,8167,4072,4095,61,28,33
"북구",두암2동,7499,17055,8440,8615,7499,16965,8411,8554,90,29,61
"북구",두암3동,7874,14476,6947,7529,7874,14409,6933,7476,67,14,53
"북구",삼각동,5877,14801,7615,7186,5877,14703,7570,7133,98,45,53
"북구",일곡동,11311,31397,15358,16039,11311,31274,15327,15947,123,31,92
"북구",매곡동,5377,14558,7153,7405,5377,14511,7141,7370,47,12,35
"북구",오치1동,5533,12203,6156,6047,5533,11930,6018,5912,273,138,135
"북구",오치2동,6785,13113,6398,6715,6785,13037,6379,6658,76,19,57
"북구",석곡동,1435,2767,1431,1336,1435,2743,1427,1316,24,4,20
"북구",건국동,19451,51598,25813,25785,19451,50808,25370,25438,790,443,347
"북구",양산동,14844,36447,18375,18072,14844,35937,18093,17844,510,282,228
"광산구",소계,160569,418776,212104,206672,160569,405315,203983,201332,13461,8121,5340
"광산구",송정1동,4841,11615,5837,5778,4841,11381,5737,5644,234,100,134
"광산구",송정2동,3402,6870,3431,3439,3402,6719,3370,3349,151,61,90
"광산구",도산동,6703,16382,8219,8163,6703,16164,8120,8044,218,99,119
"광산구",신흥동,2098,4972,2509,2463,2098,4890,2464,2426,82,45,37
"광산구",어룡동,13385,34436,17744,16692,13385,32876,16858,16018,1560,886,674
"광산구",우산동,12038,24767,12499,12268,12038,24189,12228,11961,578,271,307
"광산구",월곡1동,5096,13198,6748,6450,5096,11852,6028,5824,1346,720,626
"광산구",월곡2동,6693,20417,10388,10029,6693,16933,8604,8329,3484,1784,1700
"광산구",비아동,3292,7905,4240,3665,3292,7290,3831,3459,615,409,206
"광산구",첨단1동,9048,26073,12920,13153,9048,25995,12883,13112,78,37,41
"광산구",첨단2동,17130,44762,22507,22255,17130,44044,22126,21918,718,381,337
"광산구",신가동,8354,22049,11244,10805,8354,21843,11160,10683,206,84,122
"광산구",운남동,11789,31745,15584,16161,11789,31504,15514,15990,241,70,171
"광산구",신창동,13021,34769,17588,17181,13021,34604,17523,17081,165,65,100
"광산구",수완동,27697,79513,39281,40232,27697,78986,39041,39945,527,240,287
"광산구",하남동,8790,25118,13350,11768,8790,23437,11904,11533,1681,1446,235
"광산구",임곡동,1240,2239,1175,1064,1240,2152,1109,1043,87,66,21
"광산구",동곡동,1035,2063,1090,973,1035,1979,1017,962,84,73,11
"광산구",평동,2396,5412,3477,1935,2396,4079,2255,1824,1333,1222,111
"광산구",삼도동,1340,2354,1214,1140,1340,2296,1164,1132,58,50,8
"광산구",본량동,1181,2117,1059,1058,1181,2102,1047,1055,15,12,3
