"읍면별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"읍면별(1)",합계,합계,합계,한국인,한국인,한국인,한국인,외국인,외국인,외국인
"읍면별(1)",총인구 (명),남자인구 (명),여자인구 (명),세대수 (세대),총인구 (명),남자인구 (명),여자인구 (명),총인구 (명),남자인구 (명),여자인구 (명)
"무주군",24252,12020,12232,12674,24036,11959,12077,216,61,155
"무주읍",9551,4739,4812,4480,9442,4707,4735,109,32,77
"무풍면",2280,1120,1160,1277,2254,1112,1142,26,8,18
"설천면",4085,2054,2031,2191,4052,2048,2004,33,6,27
"적상면",2632,1294,1338,1510,2618,1288,1330,14,6,8
"안성면",4285,2115,2170,2376,4258,2106,2152,27,9,18
"부남면",1419,698,721,840,1412,698,714,7,-,7
