설치유무,어린이보호구역개수,화재발생횟수,관광지개수,예상범죄발생횟수
1.0,0.1,0.0,0.2,0.014842075373347034
0.0,0.037500000000000006,0.0,0.2,0.0026475963880180035
0.0,0.025,0.0,0.0,0.0010934504758503764
0.0,0.0625,0.0,0.0,0.0032737078930345316
1.0,0.037500000000000006,0.0,0.0,0.0038027409427924524
0.0,0.05,0.0,0.2,0.00306084779388951
0.0,0.037500000000000006,0.0,0.0,0.0037234750481317533
0.0,0.037500000000000006,0.0,0.2,0.005745200675994513
0.0,0.025,0.0,0.0,0.012743755734913263
0.0,0.0,0.0,0.0,0.004457352544765637
0.0,0.025,0.0,0.0,0.002915675425016546
0.0,0.037500000000000006,0.0,0.0,0.023882840504816143
0.0,0.05,0.0,0.0,0.007003658082236839
0.0,0.037500000000000006,0.0,0.0,0.009586479368933755
0.0,0.05,0.0,0.0,0.012264597854829487
0.0,0.0125,0.0,0.0,0.004208867324424795
0.0,0.025,0.0,0.0,0.005942920098631311
0.0,0.025,0.0,0.0,0.013928291014674262
0.0,0.0,0.0,0.0,0.016646487761915293
0.0,0.0,0.0,0.0,0.025542971152541328
0.0,0.0,0.0,0.0,0.006524500202153064
0.0,0.05,0.0,0.0,0.31395718898564096
0.0,0.025,0.0,0.4,0.2928688044998121
0.0,0.0125,0.0,0.4,0.10689216626764354
0.0,0.025,0.0,0.2,0.1695208493684149
0.0,0.037500000000000006,0.0,0.0,0.35040572474686216
0.0,0.1375,0.0,0.0,0.0367076213635024
0.0,0.025,0.0,0.0,0.0051395348905781905
0.0,0.0,0.0,0.0,0.024397598256777397
0.0,0.025,0.0,0.0,0.006484550142889243
0.0,0.0,0.0,0.0,0.005630055685999873
0.0,0.0625,0.0,0.0,0.004469437686021788
0.0,0.0,0.0,0.0,0.00404640869537557
0.0,0.025,0.0,0.0,0.012462395708716144
0.0,0.025,0.0,0.2,0.004488721058814777
0.0,0.0,0.0,0.2,0.0034751387763832403
0.0,0.0625,0.0,0.0,0.07007421130501067
0.0,0.025,0.0,0.0,0.03275921139732848
0.0,0.037500000000000006,0.0,0.6000000000000001,0.03369591278959679
0.0,0.0,0.0,0.0,0.007988663468455273
0.0,0.0,0.0,0.0,0.004052068728399548
0.0,0.0125,0.0,0.0,0.01154567986654606
0.0,0.0125,0.0,0.0,0.0041255355042637285
0.0,0.0125,0.0,0.0,0.0037520793936208054
0.0,0.0125,0.0,0.0,0.04947290290642977
0.0,0.0125,0.0,0.0,0.09024696351105051
0.0,0.0,0.0,0.0,0.05849707187508007
0.0,0.0,0.0,0.0,0.0524360628662851
0.0,0.025,0.0,0.0,0.01553935198706604
0.0,0.0,0.0,0.0,0.013278637553281484
0.0,0.0,0.0,0.0,0.021352617673940606
0.0,0.0125,0.0,0.0,0.03241871983931458
0.0,0.037500000000000006,0.0,0.2,0.07178491389427727
0.0,0.05,0.0,0.2,0.07891534653416916
0.0,0.0125,0.0,0.0,0.015073910780110398
0.0,0.0125,0.0,0.0,0.010473325244691689
0.0,0.037500000000000006,0.0,0.0,0.4825897337961614
0.0,0.037500000000000006,0.0,0.0,0.11434131921420418
0.0,0.025,0.0,0.0,0.07250953496424399
0.0,0.0125,0.0,0.2,0.046766898502730046
0.0,0.0125,0.0,0.4,0.04345253405831013
0.0,0.025,0.0,0.0,0.03749244149279392
0.0,0.05,0.0,0.2,0.009190663057332068
0.0,0.025,0.0,0.2,0.007504033044151188
0.0,0.025,0.0,0.0,0.008020801262475405
0.0,0.037500000000000006,0.0,0.2,0.009564765203112788
0.0,0.025,0.0,0.0,0.013648185235024389
0.0,0.1125,0.0,0.0,0.05623968818623092
0.0,0.025,0.0,0.0,0.0025985348109360826
0.0,0.037500000000000006,0.0,0.0,0.003641499439693512
0.0,0.0,0.0,0.2,0.00430993312944578
0.0,0.025,0.0,0.0,0.005516755044017969
0.0,0.025,0.0,0.0,0.0056494014182489624
0.0,0.05,0.0,0.0,0.007789949771035408
0.0,0.037500000000000006,0.0,0.0,0.009938300851717796
0.0,0.025,0.0,0.0,0.004978366819198048
0.0,0.08750000000000001,0.0,0.0,0.006462256506282248
0.0,0.05,0.0,0.0,0.0028901117864781195
0.0,0.05,0.0,0.0,0.001042355126990768
0.0,0.0625,0.0,0.2,0.00296565772641965
0.0,0.0125,0.0,0.0,0.00045427503487710795
0.0,0.0125,0.0,0.0,0.00039120457125619673
0.0,0.025,0.0,0.0,0.002987489809980735
0.0,0.05,0.0,0.0,0.0022649518064115064
0.0,0.025,0.0,0.0,0.0009439374804614343
0.0,0.0,0.0,0.0,0.0006701700834256114
0.0,0.0,0.0,0.0,0.0016598912048614472
0.0,0.037500000000000006,0.0,0.0,0.004437763932252784
0.0,0.0,0.0,0.0,0.002915755821137171
0.0,0.0,0.0,0.0,0.005566447998259967
0.0,0.1,0.0,0.0,0.015568661138316873
0.0,0.037500000000000006,0.0,0.0,0.0025491154337145125
0.0,0.025,0.0,0.0,0.0014866207004083946
0.0,0.1,0.0,0.0,0.008787893217051118
0.0,0.025,0.0,0.0,0.0047354426589031285
0.0,0.0,0.0,0.0,0.0033059609971654454
0.0,0.0,0.0,0.0,0.007997779716745198
0.0,0.05,0.0,0.0,0.002765010482263015
0.0,0.0125,0.0,0.0,0.002407033620063009
0.0,0.1,0.0,0.0,0.011771264762723775
0.0,0.0,0.0,0.0,0.014010959303283933
1.0,0.07500000000000001,0.0,0.0,0.5435896167298518
1.0,0.0625,0.0,0.0,0.23941547262359275
1.0,0.07500000000000001,0.0,0.2,0.48894688441847534
1.0,0.025,0.0,0.2,0.28963527885648704
1.0,0.037500000000000006,0.0,0.0,0.16668913115588968
1.0,0.037500000000000006,0.0,0.0,0.08651659768264044
0.0,0.05,0.0,0.0,0.0210902207634356
0.0,0.025,0.0,0.0,0.008406637642931562
0.0,0.025,0.0,0.0,0.009597602627790023
0.0,0.0125,0.0,0.0,0.006854891734321188
0.0,0.025,0.0,0.0,0.0063020822543787425
0.0,0.025,0.0,0.0,0.0046805077798809025
0.0,0.0,0.0,0.0,0.0067889425332052465
0.0,0.025,0.0,0.2,0.0029270349031511804
0.0,0.0125,0.0,0.2,0.0036233808796400854
0.0,0.037500000000000006,0.0,0.0,0.02940403587966883
0.0,0.037500000000000006,0.0,0.0,0.022038950544996667
0.0,0.08750000000000001,0.0,0.2,0.0723850157548682
0.0,0.08750000000000001,0.0,0.2,0.09253252752619963
0.0,0.0625,0.0,0.0,0.034736198662442284
0.0,0.0125,0.0,0.0,0.013691475262060599
0.0,0.0,0.0,0.0,0.0002673721539919823
1.0,0.125,0.0,0.0,0.0026744661486436017
1.0,0.1,0.0,0.0,0.007217436299556267
1.0,0.0125,0.0,0.0,0.00021431952206963403
1.0,0.037500000000000006,0.0,0.0,0.0006044716097809045
0.0,0.0,0.0,0.0,4.942932639282052e-05
1.0,0.07500000000000001,0.0,0.2,0.0011617778317824
1.0,0.05,0.0,0.0,0.0006346574579597262
0.0,0.025,0.0,0.2,0.0
1.0,0.07500000000000001,0.0,0.0,0.006380156335696199
0.0,0.07500000000000001,0.0,0.2,0.0010376385311469958
1.0,0.025,0.0,0.0,0.0012742201162485108
0.0,0.0,0.0,0.0,0.0008448264259047721
0.0,0.025,0.0,0.0,0.000666352598547489
1.0,0.0125,0.0,0.0,0.003095558730738165
0.0,0.0125,0.0,0.0,0.003750214313116359
0.0,0.037500000000000006,0.0,0.0,0.004535801011970194
0.0,0.05,0.0,0.0,0.005560987880743426
0.0,0.05,0.0,0.0,0.006525425730056779
0.0,0.025,0.0,0.0,0.0015398555802221417
0.0,0.025,0.0,0.0,0.004499955317257843
0.0,0.025,0.0,0.0,0.0016387142330077829
1.0,0.07500000000000001,0.0,0.0,0.013983216845736912
1.0,0.1125,0.0,0.0,0.01639468879212253
0.0,0.0,0.0,0.0,0.006396381229092317
0.0,0.0,0.0,0.0,0.00749967398002825
0.0,0.05,0.0,0.0,0.20549257188995088
0.0,0.0,0.0,0.0,0.14658644095758658
0.0,0.0,0.0,0.0,0.19346158858163448
0.0,0.0,0.0,0.0,0.43502545850127305
0.0,0.0125,0.0,0.0,0.12307272168158591
0.0,0.037500000000000006,0.0,0.0,0.10808729437097414
0.0,0.0,0.0,0.0,0.08847222285057982
0.0,0.0125,0.0,0.0,0.07083693339357935
0.0,0.05,0.0,0.0,0.04642991223597847
0.0,0.0125,0.0,0.4,0.008881634657156141
0.0,0.025,0.0,0.0,0.012934750552146837
0.0,0.05,0.0,0.0,0.02896177745717542
0.0,0.0125,0.0,0.4,0.03096979173717734
0.0,0.05,0.0,0.0,0.01690309539573904
0.0,0.05,0.0,0.0,0.0487823089122868
0.0,0.037500000000000006,0.0,0.4,0.031075755551425468
0.0,0.17500000000000002,0.0,0.0,0.0674318658563696
0.0,0.037500000000000006,0.0,0.0,0.0085660897833776
0.0,0.0125,0.0,0.0,0.004203494506955045
0.0,0.025,0.0,0.0,0.004245025054805021
0.0,0.025,0.0,0.0,0.0070728778129534355
0.0,0.025,0.0,0.0,0.006935071904178513
0.0,0.025,0.0,0.0,0.011271238650151082
0.0,0.05,0.0,0.4,0.006961500434628499
0.0,0.0125,0.0,0.0,0.007203132713028363
0.0,0.037500000000000006,0.0,0.0,0.006204511812453923
0.0,0.05,0.0,0.0,0.1187135024978334
0.0,0.05,0.0,0.0,0.03848317821943788
0.0,0.0625,0.0,0.0,0.039142944463289676
0.0,0.1,0.0,0.0,0.057850066502504405
0.0,0.08750000000000001,0.0,0.0,0.09226787222344021
0.0,0.07500000000000001,0.0,0.0,0.033242307145648624
0.0,0.037500000000000006,0.0,0.0,0.007057600933219542
0.0,0.025,0.0,0.0,0.0046082168276513425
0.0,0.0125,0.0,0.2,0.008904910623160978
0.0,0.0125,0.0,0.2,0.0033582408099065387
