설치유무,등록인구수,어린이보호구역개수,화재발생횟수,관광지개수,예상범죄발생횟수
1.0,0.08190289594201361,0.1,0.0,0.2,0.014842075373347034
0.0,0.0158285115890764,0.037500000000000006,0.0,0.2,0.0026475963880180035
0.0,0.007407550393058619,0.025,0.0,0.0,0.0010934504758503764
0.0,0.019221024896125396,0.0625,0.0,0.0,0.0032737078930345316
1.0,0.022087529738781305,0.037500000000000006,0.0,0.0,0.0038027409427924524
0.0,0.018067666887043303,0.05,0.0,0.2,0.00306084779388951
0.0,0.021658036588955754,0.037500000000000006,0.0,0.0,0.0037234750481317533
0.0,0.032612524792371436,0.037500000000000006,0.0,0.2,0.005745200675994513
0.0,0.07053339188595752,0.025,0.0,0.0,0.012743755734913263
0.0,0.025634467549138364,0.0,0.0,0.0,0.004457352544765637
0.0,0.017281067073317863,0.025,0.0,0.0,0.002915675425016546
0.0,0.13088924385076803,0.037500000000000006,0.0,0.0,0.023882840504816143
0.0,0.039431331766568066,0.05,0.0,0.0,0.007003658082236839
0.0,0.05342605237886122,0.037500000000000006,0.0,0.0,0.009586479368933755
0.0,0.0679371299240907,0.05,0.0,0.0,0.012264597854829487
0.0,0.024288078910921194,0.0125,0.0,0.0,0.004208867324424795
0.0,0.03368384478407112,0.025,0.0,0.0,0.005942920098631311
0.0,0.07695166030469885,0.025,0.0,0.0,0.013928291014674262
0.0,0.09167989730770532,0.0,0.0,0.0,0.016646487761915293
0.0,0.13988447116846264,0.0,0.0,0.0,0.025542971152541328
0.0,0.03683506980470127,0.0,0.0,0.0,0.006524500202153064
0.0,0.03520396098850986,0.05,0.0,0.0,0.31395718898564096
0.0,0.03280555542150651,0.025,0.0,0.4,0.2928688044998121
0.0,0.011654224234030336,0.0125,0.0,0.4,0.10689216626764354
0.0,0.018777054449114716,0.025,0.0,0.2,0.1695208493684149
0.0,0.03934929374918566,0.037500000000000006,0.0,0.0,0.35040572474686216
0.0,0.1479338484033954,0.1375,0.0,0.0,0.0367076213635024
