시도명,시군구명,읍/면/동,설치유무,등록인구수,어린이보호구역개수,화재발생횟수,범죄총계(구),관광지개수,등록인구수총계(시군구명),인구밀도비율(구),예상범죄발생횟수
강원도,삼척시,신기면,0.0,674.0,1.0,0.0,724.0,0.0,1561313.0,0.00043168794469782804,0.3125420719612275
강원도,삼척시,남양동,0.0,8142.0,1.0,0.0,724.0,0.0,1561313.0,0.005214841610874949,3.775545326273463
강원도,삼척시,교동,0.0,14802.0,1.0,0.0,724.0,0.0,1561313.0,0.009480482132666545,6.863869064050578
강원도,삼척시,정라동,0.0,9616.0,0.0,0.0,724.0,0.0,1561313.0,0.006158918807439635,4.459057216586296
강원도,삼척시,성내동,0.0,8626.0,0.0,0.0,724.0,0.0,1561313.0,0.005524837108254399,3.9999820663761847
강원도,속초시,영랑동,0.0,5026.0,2.0,0.0,448.0,0.0,1561313.0,0.0032190854748535367,1.4421502927343846
강원도,속초시,동명동,0.0,4312.0,0.0,0.0,448.0,0.0,1561313.0,0.0027617780675623657,1.23727657426794
강원도,속초시,금호동,0.0,6862.0,0.0,0.0,448.0,0.0,1561313.0,0.004395018807887977,1.9689684259338136
강원도,속초시,교동,0.0,10357.0,1.0,0.0,448.0,0.0,1561313.0,0.006633519351981313,2.9718166696876285
강원도,속초시,노학동,0.0,22790.0,3.0,0.0,448.0,1.0,1561313.0,0.014596688812557124,6.539316588025591
강원도,속초시,조양동,0.0,25042.0,4.0,0.0,448.0,1.0,1561313.0,0.01603906455656233,7.185500921339924
강원도,속초시,청호동,0.0,4879.0,1.0,0.0,448.0,0.0,1561313.0,0.0031249339498230014,1.3999704095207046
강원도,속초시,대포동,0.0,3426.0,1.0,0.0,448.0,0.0,1561313.0,0.0021943069711198204,0.9830495230616796
강원도,양구군,양구읍,0.0,15009.0,3.0,0.0,1303.0,0.0,1561313.0,0.009613062851587093,12.525820895617983
강원도,양구군,남면,0.0,3565.0,3.0,0.0,1303.0,0.0,1561313.0,0.002283334603631687,2.975184988532088
강원도,양구군,동면,0.0,2265.0,2.0,0.0,1303.0,0.0,1561313.0,0.0014507020693480424,1.8902647963604993
강원도,양구군,방산면,0.0,1465.0,1.0,0.0,1303.0,1.0,1561313.0,0.0009383128174811842,1.222621601177983
강원도,양구군,해안면,0.0,1362.0,1.0,0.0,1303.0,2.0,1561313.0,0.0008723427013033261,1.136662539798234
강원도,양양군,양양읍,0.0,11944.0,2.0,0.0,150.0,0.0,1561313.0,0.007649971530372193,1.147495729555829
강원도,양양군,서면,0.0,3017.0,4.0,0.0,150.0,1.0,1561313.0,0.001932347966102889,0.28985219491543335
강원도,양양군,손양면,0.0,2485.0,2.0,0.0,150.0,1.0,1561313.0,0.0015916091136114283,0.23874136704171425
강원도,양양군,현북면,0.0,2648.0,2.0,0.0,150.0,0.0,1561313.0,0.0016960084236793008,0.25440126355189513
강원도,양양군,현남면,0.0,3135.0,3.0,0.0,150.0,1.0,1561313.0,0.002007925380753251,0.3011888071129876
강원도,양양군,강현면,0.0,4423.0,2.0,0.0,150.0,0.0,1561313.0,0.002832872076258892,0.4249308114388338
강원도,영월군,영월읍,0.0,21767.0,9.0,0.0,178.0,0.0,1561313.0,0.013941471056732378,2.4815818480983634
강원도,영월군,상동읍,0.0,1143.0,2.0,0.0,178.0,0.0,1561313.0,0.0007320761436047737,0.13030955356164972
강원도,영월군,중동면,0.0,1544.0,3.0,0.0,178.0,0.0,1561313.0,0.0009889112561030364,0.1760262035863405
강원도,영월군,김삿갓면,0.0,1801.0,0.0,0.0,178.0,1.0,1561313.0,0.0011535163032652645,0.20532590198121708
강원도,영월군,북면,0.0,2265.0,2.0,0.0,178.0,0.0,1561313.0,0.0014507020693480424,0.25822496834395153
강원도,영월군,남면,0.0,2316.0,2.0,0.0,178.0,0.0,1561313.0,0.0014833668841545545,0.2640393053795107
강원도,영월군,한반도면,0.0,3139.0,4.0,0.0,178.0,0.0,1561313.0,0.002010487327012585,0.3578667442082401
강원도,영월군,주천면,0.0,3965.0,3.0,0.0,178.0,0.0,1561313.0,0.002539529229565116,0.45203620286259066
강원도,영월군,수주면,0.0,2058.0,2.0,0.0,178.0,0.0,1561313.0,0.0013181213504274928,0.23462560037609373
강원도,원주시,문막읍,0.0,19728.0,7.0,0.0,206.0,0.0,1561313.0,0.012635518951036723,2.602916903913565
강원도,원주시,소초면,0.0,9420.0,4.0,0.0,206.0,0.0,1561313.0,0.006033383440732255,1.2428769887908446
강원도,원주시,호저면,0.0,4088.0,4.0,0.0,206.0,0.0,1561313.0,0.0026183090770396456,0.5393716698701669
강원도,원주시,지정면,0.0,9638.0,5.0,0.0,206.0,1.0,1561313.0,0.006173009511865974,1.2716399594443908
강원도,원주시,부론면,0.0,2391.0,1.0,0.0,206.0,0.0,1561313.0,0.0015314033765170725,0.31546909556251695
강원도,원주시,귀래면,0.0,2209.0,1.0,0.0,206.0,0.0,1561313.0,0.0014148348217173624,0.29145597327377665
