설치유무,등록인구수,어린이보호구역개수,관광지개수,예상범죄발생횟수
1.0,0.0819028959420136,0.1,0.2,0.014842075373347
0.0,0.0158285115890764,0.0375,0.2,0.002647596388018
0.0,0.0074075503930586,0.025,0.0,0.0010934504758503
0.0,0.0192210248961253,0.0625,0.0,0.0032737078930345
1.0,0.0220875297387813,0.0375,0.0,0.0038027409427924
0.0,0.0180676668870433,0.05,0.2,0.0030608477938895
0.0,0.0216580365889557,0.0375,0.0,0.0037234750481317
0.0,0.0326125247923714,0.0375,0.2,0.0057452006759945
0.0,0.0705333918859575,0.025,0.0,0.0127437557349132
0.0,0.0256344675491383,0.0,0.0,0.0044573525447656
0.0,0.0172810670733178,0.025,0.0,0.0029156754250165
0.0,0.130889243850768,0.0375,0.0,0.0238828405048161
0.0,0.039431331766568,0.05,0.0,0.0070036580822368
0.0,0.0534260523788612,0.0375,0.0,0.0095864793689337
0.0,0.0679371299240907,0.05,0.0,0.0122645978548294
0.0,0.0242880789109211,0.0125,0.0,0.0042088673244247
0.0,0.0336838447840711,0.025,0.0,0.0059429200986313
0.0,0.0769516603046988,0.025,0.0,0.0139282910146742
0.0,0.0916798973077053,0.0,0.0,0.0166464877619152
0.0,0.1398844711684626,0.0,0.0,0.0255429711525413
0.0,0.0368350698047012,0.0,0.0,0.006524500202153
0.0,0.0352039609885098,0.05,0.0,0.3139571889856409
0.0,0.0328055554215065,0.025,0.4,0.2928688044998121
0.0,0.0116542242340303,0.0125,0.4,0.1068921662676435
0.0,0.0187770544491147,0.025,0.2,0.1695208493684149
0.0,0.0393492937491856,0.0375,0.0,0.3504057247468621
0.0,0.1479338484033954,0.1375,0.0,0.0367076213635024
0.0,0.0215325666800179,0.025,0.0,0.0051395348905781
0.0,0.0986434772537532,0.0,0.0,0.0243975982567773
0.0,0.0269181212328866,0.025,0.0,0.0064845501428892
0.0,0.0234966533314673,0.0,0.0,0.0056300556859998
0.0,0.0188494409350403,0.0625,0.0,0.0044694376860217
0.0,0.01715559716438,0.0,0.0,0.0040464086953755
0.0,0.0508539192456363,0.025,0.0,0.0124623957087161
0.0,0.0189266531866944,0.025,0.2,0.0044887210588147
0.0,0.0148681842091293,0.0,0.2,0.0034751387763832
0.0,0.0549847747091269,0.0625,0.0,0.0700742113050106
0.0,0.0255717325946694,0.025,0.0,0.0327592113973284
0.0,0.0263100747511111,0.0375,0.6000000000000001,0.0336959127895967
0.0,0.0060466844576563,0.0,0.0,0.0079886634684552
0.0,0.0029437170943099,0.0,0.0,0.0040520687283995
0.0,0.0088504543458433,0.0125,0.0,0.011545679866546
0.0,0.0030016262830504,0.0125,0.0,0.0041255355042637
0.0,0.0027072545736194,0.0125,0.0,0.0037520793936208
0.0,0.0387460730331385,0.0125,0.0,0.0494729029064297
0.0,0.070885672784129,0.0125,0.0,0.0902469635110505
0.0,0.0458592517167661,0.0,0.0,0.05849707187508
0.0,0.0410817436456729,0.0,0.0,0.0524360628662851
0.0,0.0237089870235159,0.025,0.0,0.015539351987066
0.0,0.0202633902934548,0.0,0.0,0.0132786375532814
0.0,0.032569092900816,0.0,0.0,0.0213526176739406
0.0,0.0494351441214934,0.0125,0.0,0.0324187198393145
0.0,0.1094338894224041,0.0375,0.2,0.0717849138942772
0.0,0.120301513842709,0.05,0.2,0.0789153465341691
0.0,0.0229995994614445,0.0125,0.0,0.0150739107801103
0.0,0.0159877618581128,0.0125,0.0,0.0104733252446916
0.0,0.071884606289903,0.0375,0.0,0.4825897337961614
0.0,0.0166585432943572,0.0375,0.0,0.1143413192142041
0.0,0.0103850478474671,0.025,0.0,0.0725095349642439
0.0,0.0065244352647656,0.0125,0.2,0.04676689850273
0.0,0.0060273813947428,0.0125,0.4,0.0434525340583101
0.0,0.0570936343324277,0.025,0.0,0.0374924414927939
0.0,0.0140140236752066,0.05,0.2,0.009190663057332
0.0,0.0114467163077101,0.025,0.2,0.0075040330441511
0.0,0.0122333161214355,0.025,0.0,0.0080208012624754
0.0,0.0145834640311551,0.0375,0.2,0.0095647652031127
0.0,0.0207990502893046,0.025,0.0,0.0136481852350243
0.0,0.1044971310822744,0.1125,0.0,0.0562396881862309
0.0,0.0049705387002282,0.025,0.0,0.002598534810936
0.0,0.0069056707573074,0.0375,0.0,0.0036414994396935
0.0,0.0081458925495002,0.0,0.2,0.0043099331294457
0.0,0.0103850478474671,0.025,0.0,0.0055167550440179
0.0,0.0106311618996144,0.025,0.0,0.0056494014182489
0.0,0.0146027670940686,0.05,0.0,0.0077899497710354
0.0,0.018588849585708,0.0375,0.0,0.0099383008517177
0.0,0.0093861143416931,0.025,0.0,0.004978366819198
0.0,0.0946573947621138,0.0875,0.0,0.0064622565062822
0.0,0.0449134016340042,0.05,0.0,0.0028901117864781
0.0,0.0191824187702983,0.05,0.0,0.0010423551269907
0.0,0.0459654185627904,0.0625,0.2,0.0029656577264196
0.0,0.0109930943292426,0.0125,0.0,0.0004542750348771
0.0,0.010114804966678,0.0125,0.0,0.0003912045712561
0.0,0.0462694418036782,0.025,0.0,0.0029874898099807
0.0,0.0362077202600122,0.05,0.0,0.0022649518064115
0.0,0.0178119013034393,0.025,0.0,0.0009439374804614
0.0,0.0139995463780215,0.0,0.0,0.0006701700834256
0.0,0.0277819332982661,0.0,0.0,0.0016598912048614
0.0,0.0664652713769357,0.0375,0.0,0.0044377639322527
0.0,0.0452705082979041,0.0,0.0,0.0029157558211371
0.0,0.0821827903542594,0.0,0.0,0.0055664479982599
0.0,0.2214688665724034,0.1,0.0,0.0155686611383168
0.0,0.0401648481572813,0.0375,0.0,0.0025491154337145
0.0,0.0253690504340776,0.025,0.0,0.0014866207004083
0.0,0.1270431085652515,0.1,0.0,0.0087878932170511
0.0,0.0706106041376115,0.025,0.0,0.0047354426589031
0.0,0.0507043205080566,0.0,0.0,0.0033059609971654
0.0,0.1160403627045521,0.0,0.0,0.0079977797167451
0.0,0.0431713002060602,0.05,0.0,0.002765010482263
0.0,0.0381862842086468,0.0125,0.0,0.002407033620063
0.0,0.1685881257208487,0.1,0.0,0.0117712647627237
0.0,0.199777049623349,0.0,0.0,0.0140109593032839
1.0,0.0463418282896038,0.075,0.0,0.5435896167298518
1.0,0.0201234430873318,0.0625,0.0,0.2394154726235927
1.0,0.0416318809387079,0.075,0.2,0.4889468844184753
1.0,0.024452154945686,0.025,0.2,0.289635278856487
1.0,0.0138547734061702,0.0375,0.0,0.1666891311558896
1.0,0.0069442768831344,0.0375,0.0,0.0865165976826404
0.0,0.0528566120229127,0.05,0.0,0.0210902207634356
0.0,0.0213009299250558,0.025,0.0,0.0084066376429315
0.0,0.0242639500822793,0.025,0.0,0.00959760262779
0.0,0.0174403173423543,0.0125,0.0,0.0068548917343211
