설치유무,등록인구수,어린이보호구역개수,화재발생횟수,관광지개수
1.0,0.08190289594201361,0.1,0.0,0.2
0.0,0.0158285115890764,0.037500000000000006,0.0,0.2
0.0,0.007407550393058619,0.025,0.0,0.0
0.0,0.019221024896125396,0.0625,0.0,0.0
1.0,0.022087529738781305,0.037500000000000006,0.0,0.0
0.0,0.018067666887043303,0.05,0.0,0.2
0.0,0.021658036588955754,0.037500000000000006,0.0,0.0
0.0,0.032612524792371436,0.037500000000000006,0.0,0.2
0.0,0.07053339188595752,0.025,0.0,0.0
0.0,0.025634467549138364,0.0,0.0,0.0
0.0,0.017281067073317863,0.025,0.0,0.0
0.0,0.13088924385076803,0.037500000000000006,0.0,0.0
0.0,0.039431331766568066,0.05,0.0,0.0
0.0,0.05342605237886122,0.037500000000000006,0.0,0.0
0.0,0.0679371299240907,0.05,0.0,0.0
0.0,0.024288078910921194,0.0125,0.0,0.0
0.0,0.03368384478407112,0.025,0.0,0.0
0.0,0.07695166030469885,0.025,0.0,0.0
0.0,0.09167989730770532,0.0,0.0,0.0
0.0,0.13988447116846264,0.0,0.0,0.0
0.0,0.03683506980470127,0.0,0.0,0.0
0.0,0.03520396098850986,0.05,0.0,0.0
0.0,0.03280555542150651,0.025,0.0,0.4
0.0,0.011654224234030336,0.0125,0.0,0.4
0.0,0.018777054449114716,0.025,0.0,0.2
0.0,0.03934929374918566,0.037500000000000006,0.0,0.0
0.0,0.1479338484033954,0.1375,0.0,0.0
0.0,0.021532566680017955,0.025,0.0,0.0
0.0,0.09864347725375325,0.0,0.0,0.0
0.0,0.026918121232886633,0.025,0.0,0.0
0.0,0.023496653331467374,0.0,0.0,0.0
0.0,0.01884944093504037,0.0625,0.0,0.0
0.0,0.01715559716438006,0.0,0.0,0.0
0.0,0.05085391924563631,0.025,0.0,0.0
0.0,0.0189266531866944,0.025,0.0,0.2
0.0,0.014868184209129385,0.0,0.0,0.2
0.0,0.05498477470912698,0.0625,0.0,0.0
0.0,0.025571732594669463,0.025,0.0,0.0
0.0,0.026310074751111138,0.037500000000000006,0.0,0.6000000000000001
0.0,0.006046684457656319,0.0,0.0,0.0
0.0,0.0029437170943099403,0.0,0.0,0.0
0.0,0.008850454345843327,0.0125,0.0,0.0
0.0,0.0030016262830504636,0.0125,0.0,0.0
0.0,0.002707254573619469,0.0125,0.0,0.0
0.0,0.03874607303313854,0.0125,0.0,0.0
0.0,0.07088567278412904,0.0125,0.0,0.0
0.0,0.045859251716766164,0.0,0.0,0.0
0.0,0.041081743645672984,0.0,0.0,0.0
0.0,0.02370898702351596,0.025,0.0,0.0
0.0,0.02026339029345482,0.0,0.0,0.0
0.0,0.03256909290081604,0.0,0.0,0.0
0.0,0.04943514412149348,0.0125,0.0,0.0
0.0,0.1094338894224041,0.037500000000000006,0.0,0.2
0.0,0.120301513842709,0.05,0.0,0.2
0.0,0.02299959946144455,0.0125,0.0,0.0
0.0,0.015987761858112837,0.0125,0.0,0.0
0.0,0.07188460628990306,0.037500000000000006,0.0,0.0
0.0,0.016658543294357234,0.037500000000000006,0.0,0.0
0.0,0.010385047847467197,0.025,0.0,0.0
0.0,0.006524435264765637,0.0125,0.0,0.2
0.0,0.006027381394742811,0.0125,0.0,0.4
0.0,0.05709363433242771,0.025,0.0,0.0
0.0,0.014014023675206664,0.05,0.0,0.2
0.0,0.011446716307710127,0.025,0.0,0.2
0.0,0.01223331612143557,0.025,0.0,0.0
0.0,0.014583464031155145,0.037500000000000006,0.0,0.2
0.0,0.02079905028930466,0.025,0.0,0.0
0.0,0.10449713108227449,0.1125,0.0,0.0
0.0,0.004970538700228259,0.025,0.0,0.0
0.0,0.0069056707573074165,0.037500000000000006,0.0,0.0
0.0,0.008145892549500293,0.0,0.0,0.2
0.0,0.010385047847467197,0.025,0.0,0.0
0.0,0.010631161899614421,0.025,0.0,0.0
0.0,0.014602767094068653,0.05,0.0,0.0
0.0,0.018588849585708014,0.037500000000000006,0.0,0.0
0.0,0.00938611434169317,0.025,0.0,0.0
0.0,0.09465739476211389,0.08750000000000001,0.0,0.0
0.0,0.04491340163400428,0.05,0.0,0.0
0.0,0.01918241877029838,0.05,0.0,0.0
0.0,0.045965418562790454,0.0625,0.0,0.2
0.0,0.010993094329242694,0.0125,0.0,0.0
0.0,0.010114804966678088,0.0125,0.0,0.0
0.0,0.0462694418036782,0.025,0.0,0.0
0.0,0.03620772026001226,0.05,0.0,0.0
0.0,0.017811901303439327,0.025,0.0,0.0
0.0,0.013999546378021534,0.0,0.0,0.0
0.0,0.027781933298266108,0.0,0.0,0.0
0.0,0.06646527137693574,0.037500000000000006,0.0,0.0
0.0,0.045270508297904175,0.0,0.0,0.0
0.0,0.08218279035425947,0.0,0.0,0.0
0.0,0.2214688665724034,0.1,0.0,0.0
0.0,0.040164848157281365,0.037500000000000006,0.0,0.0
0.0,0.025369050434077632,0.025,0.0,0.0
0.0,0.12704310856525158,0.1,0.0,0.0
0.0,0.07061060413761154,0.025,0.0,0.0
0.0,0.05070432050805662,0.0,0.0,0.0
0.0,0.11604036270455216,0.0,0.0,0.0
0.0,0.0431713002060602,0.05,0.0,0.0
0.0,0.03818628420864681,0.0125,0.0,0.0
0.0,0.16858812572084875,0.1,0.0,0.0
0.0,0.199777049623349,0.0,0.0,0.0
1.0,0.046341828289603856,0.07500000000000001,0.0,0.0
1.0,0.020123443087331886,0.0625,0.0,0.0
1.0,0.041631880938707955,0.07500000000000001,0.0,0.2
1.0,0.02445215494568601,0.025,0.0,0.2
1.0,0.013854773406170225,0.037500000000000006,0.0,0.0
1.0,0.006944276883134432,0.037500000000000006,0.0,0.0
0.0,0.05285661202291274,0.05,0.0,0.0
0.0,0.02130092992505586,0.025,0.0,0.0
0.0,0.024263950082279308,0.025,0.0,0.0
0.0,0.0174403173423543,0.0125,0.0,0.0
0.0,0.01606497410976687,0.025,0.0,0.0
0.0,0.012030633960843737,0.025,0.0,0.0
0.0,0.017276241307589486,0.0,0.0,0.0
0.0,0.007668141742390975,0.025,0.0,0.2
0.0,0.009400591638878299,0.0125,0.0,0.2
0.0,0.024761003952302137,0.037500000000000006,0.0,0.0
0.0,0.01850198580259723,0.037500000000000006,0.0,0.0
0.0,0.061287224750387274,0.08750000000000001,0.0,0.2
0.0,0.0784090415546687,0.08750000000000001,0.0,0.2
0.0,0.02929239797124809,0.0625,0.0,0.0
0.0,0.011408110181883112,0.0125,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.03844687555797917,0.125,0.0,0.0
1.0,0.09654909492763765,0.1,0.0,0.0
1.0,0.0069828830089614475,0.0125,0.0,0.0
1.0,0.011972724772103214,0.037500000000000006,0.0,0.0
0.0,0.00487402338566072,0.0,0.0,0.0
1.0,0.019100380752915973,0.07500000000000001,0.0,0.2
1.0,0.01235878603037337,0.05,0.0,0.0
0.0,0.00424184807524334,0.025,0.0,0.2
1.0,0.0858407207763692,0.07500000000000001,0.0,0.0
0.0,0.017512703828279956,0.07500000000000001,0.0,0.2
1.0,0.020538458939972304,0.025,0.0,0.0
0.0,0.015046737541079332,0.0,0.0,0.0
0.0,0.012764150351557034,0.025,0.0,0.0
1.0,0.04383243011084784,0.0125,0.0,0.0
0.0,0.052205133649581854,0.0125,0.0,0.0
0.0,0.062252377896062666,0.037500000000000006,0.0,0.0
0.0,0.07536398338006284,0.05,0.0,0.0
0.0,0.08769864058179433,0.05,0.0,0.0
0.0,0.023935798012749677,0.025,0.0,0.0
0.0,0.061793930151866856,0.025,0.0,0.0
0.0,0.025200148633584437,0.025,0.0,0.0
1.0,0.18307990020316475,0.07500000000000001,0.0,0.0
1.0,0.21392136897322184,0.1125,0.0,0.0
0.0,0.08604822870268941,0.0,0.0,0.0
0.0,0.10015876769246361,0.0,0.0,0.0
0.0,0.03207203903079322,0.05,0.0,0.0
0.0,0.022739008112112193,0.0,0.0,0.0
0.0,0.03016586156808432,0.0,0.0,0.0
0.0,0.06843900955984192,0.0,0.0,0.0
0.0,0.01901351696980519,0.0125,0.0,0.0
0.0,0.01663924023144373,0.037500000000000006,0.0,0.0
0.0,0.01353144710236897,0.0,0.0,0.0
0.0,0.010737328745638715,0.0125,0.0,0.0
0.0,0.04208550291717539,0.05,0.0,0.0
0.0,0.007885301200167937,0.0125,0.0,0.4
0.0,0.011577011982376303,0.025,0.0,0.0
0.0,0.026174953310716582,0.05,0.0,0.0
0.0,0.028003918521771445,0.0125,0.0,0.4
0.0,0.015191510512930639,0.05,0.0,0.0
0.0,0.04422814290057475,0.05,0.0,0.0
0.0,0.028100433836338985,0.037500000000000006,0.0,0.4
0.0,0.1727913676702651,0.17500000000000002,0.0,0.0
0.0,0.022309514962286645,0.037500000000000006,0.0,0.0
0.0,0.01115717036400751,0.0125,0.0,0.0
0.0,0.011263337210031803,0.025,0.0,0.0
0.0,0.018492334271140477,0.025,0.0,0.0
0.0,0.018140053372968958,0.025,0.0,0.0
0.0,0.029224837251050816,0.025,0.0,0.0
0.0,0.018207614093166236,0.05,0.0,0.4
0.0,0.018825312106398488,0.0125,0.0,0.0
0.0,0.01627248203608708,0.037500000000000006,0.0,0.0
0.0,0.041265122743351305,0.05,0.0,0.0
0.0,0.013097128186815044,0.05,0.0,0.0
0.0,0.013328764941777137,0.0625,0.0,0.0
0.0,0.01989663209809817,0.1,0.0,0.0
0.0,0.03198034948195405,0.08750000000000001,0.0,0.0
0.0,0.10211320281245628,0.07500000000000001,0.0,0.0
0.0,0.022150264693250207,0.037500000000000006,0.0,0.0
0.0,0.01467032781426593,0.025,0.0,0.0
0.0,0.02779158482972286,0.0125,0.0,0.2
0.0,0.010853147123119761,0.0125,0.0,0.2
0.0,0.011186124958377772,0.0125,0.0,0.0
0.0,0.01695291500378823,0.025,0.0,0.0
0.0,0.009902471274629503,0.025,0.0,0.2
0.0,0.007923907325994952,0.0125,0.0,0.0
1.0,0.047963285574338516,0.07500000000000001,0.0,0.0
1.0,0.023593168646034914,0.05,0.0,0.0
0.0,0.034538005317993836,0.05,0.0,0.2
1.0,0.013463886382171691,0.037500000000000006,0.0,0.2
1.0,0.024567973323167056,0.0125,0.0,0.0
1.0,0.009405417404606677,0.025,0.0,0.0
0.0,0.05550595740779169,0.025,0.0,0.0
0.0,0.03260769902664306,0.037500000000000006,0.0,0.0
1.0,0.07851038263496461,0.17500000000000002,0.0,0.0
0.0,0.023448395674183605,0.0,0.0,0.0
0.0,0.16563475709508207,0.0,0.0,0.0
1.0,0.11897442826740534,0.1,0.0,0.0
0.0,0.0631451445558124,0.08750000000000001,0.0,0.0
0.0,0.0979823473489656,0.1,0.0,0.0
1.0,0.0376023665555132,0.1375,0.0,0.0
0.0,0.12527687830866563,0.0,0.0,0.0
0.0,0.21546561400630246,0.0,0.0,0.0
1.0,0.10585799701767679,0.225,0.0,0.0
1.0,0.15264862152001968,0.2625,0.0,0.0
1.0,0.1672417370826316,0.1875,0.0,0.0
0.0,0.3831657988331299,0.1625,0.0,0.0
0.0,0.12066827203806565,0.05,0.0,0.0
0.0,0.010259577938529397,0.025,0.0,0.0
0.0,0.009410243170335054,0.0,0.0,0.0
0.0,0.025571732594669463,0.0,0.0,0.0
0.0,0.010814540997292746,0.0125,0.0,0.0
0.0,0.00967083451966741,0.0,0.0,0.0
0.0,0.03609190188253122,0.025,0.0,0.0
0.0,0.03455730838090734,0.025,0.0,0.0
0.0,0.044918227399732655,0.037500000000000006,0.0,0.0
0.0,0.07242991781720966,0.07500000000000001,0.0,0.0
0.0,0.14230700556410789,0.07500000000000001,0.0,0.0
1.0,0.02681195438686234,0.0,0.0,0.0
0.0,0.038084943128350895,0.0125,0.0,0.0
0.0,0.043972377316970776,0.0125,0.0,0.0
0.0,0.03241466839750798,0.0125,0.0,0.0
0.0,0.062281332490432925,0.0125,0.0,0.0
0.0,0.029910095984480342,0.025,0.0,0.0
0.0,0.09685794393425377,0.07500000000000001,0.0,0.0
0.0,0.04142919877811612,0.07500000000000001,0.0,0.0
1.0,0.22911287948615247,0.0,0.0,0.0
0.0,0.0926016185618253,0.0,0.0,0.0
1.0,0.027294530959700036,0.0,0.0,0.0
0.0,0.02118028578184644,0.0,0.0,0.0
0.0,0.019076251924274087,0.0125,0.0,0.0
0.0,0.02893046554161982,0.05,0.0,0.0
0.0,0.039368596812099164,0.05,0.0,0.0
0.0,0.042404003455248265,0.0625,0.0,0.0
0.0,0.0513992307729429,0.0625,0.0,0.0
0.0,0.022705227752013554,0.025,0.0,0.0
0.0,0.023998532967218576,0.025,0.0,0.0
0.0,0.01772986328605692,0.0,0.0,0.0
0.0,0.041096220942858114,0.037500000000000006,0.0,0.0
0.0,0.059231448550098695,0.0,0.0,0.0
0.0,0.03934446798345728,0.0,0.0,0.0
0.0,0.0714551131400775,0.0,0.0,0.0
0.0,0.023477350268553868,0.025,0.0,0.0
0.0,0.03359215523523196,0.025,0.0,0.0
0.0,0.022685924689100048,0.037500000000000006,0.0,0.0
0.0,0.015799556994706136,0.0,0.0,0.0
0.0,0.03980774149338147,0.05,0.0,0.0
0.0,0.05258154337639526,0.025,0.0,0.0
0.0,0.1956268910969448,0.1625,0.0,0.0
0.0,0.09667456483657545,0.05,0.0,0.0
0.0,0.06211725645566811,0.05,0.0,0.0
0.0,0.0720438565589395,0.0625,0.0,0.0
