시도명,시군구명,읍/면/동,등록인구수
부산광역시,서구,동대신동1가,4769
부산광역시,서구,동대신동2가,8225
부산광역시,서구,동대신동3가,6956
부산광역시,서구,서대신동1가,12051
부산광역시,서구,서대신동3가,8991
부산광역시,서구,서대신동4가,8250
부산광역시,서구,부민동,8337
부산광역시,서구,아미동,8071
부산광역시,서구,초장동,5109
부산광역시,서구,충무동,10435
부산광역시,서구,남부민1동,5412
부산광역시,서구,남부민2동,10544
부산광역시,서구,암남동,15471
